n_documents,metric,n_runs,n_valid,mean,sd,min,max,cv
500,runtime_total_seconds,10,10,3.686392888991395,0.08810926277957257,3.5778362799901515,3.867471918987576,0.02390121330873103
500,runtime_embedding_seconds,10,10,3.5268458925071173,0.08659385629594309,3.420049625041429,3.7053314360091463,0.02455277574784715
500,runtime_graph_construction_seconds,10,10,0.13405540169915184,0.0028975911756444314,0.13093332201242447,0.13926305097993463,0.02161487816915597
500,runtime_metrics_seconds,10,10,0.02340249188710004,0.0009100795545540192,0.0216025099507533,0.024760416010394692,0.03888814742226979
1000,runtime_total_seconds,10,10,6.620500619208906,0.10863531318481025,6.3947895099991,6.778521344996989,0.01640892727501795
1000,runtime_embedding_seconds,10,10,6.286701665795408,0.10690162977137076,6.060427293996327,6.440286247001495,0.0170044063571522
1000,runtime_graph_construction_seconds,10,10,0.27624737850856035,0.007470071125276391,0.2655772540019825,0.29022746899863705,0.02704123805846327
1000,runtime_metrics_seconds,10,10,0.054701320495223624,0.0025325955524099016,0.04969880497083068,0.056794528965838253,0.04629861819571689
5000,runtime_total_seconds,10,10,24.474853112793063,0.8577209958910805,23.82742678100476,26.33722371800104,0.03504499054348758
5000,runtime_embedding_seconds,10,10,22.76098594350042,0.9040263658662993,22.030332271999214,24.71057431801455,0.03971824279099172
5000,runtime_graph_construction_seconds,10,10,1.323716791800689,0.06409914135448094,1.2552672500023618,1.396003929025028,0.04842360673485534
5000,runtime_metrics_seconds,10,10,0.38165484731434846,0.014895307702854445,0.3552987410221249,0.40171287703560665,0.039028215697168876
10000,runtime_total_seconds,10,10,42.53160652100924,1.1488259828692113,40.935340153984725,44.91434608201962,0.02701111189631947
10000,runtime_embedding_seconds,10,10,39.09523794709239,1.1019388205200369,37.69375981600024,41.42682484595571,0.028186011350315638
10000,runtime_graph_construction_seconds,10,10,2.5745321022812275,0.10275847551234533,2.4186222719727084,2.7683137770509347,0.039913456670939804
10000,runtime_metrics_seconds,10,10,0.8471173705183901,0.0400481488445922,0.8091334890341386,0.9180956269847229,0.04727579700093376
25000,runtime_total_seconds,10,10,88.20313262800919,1.5538713529756718,85.98658712400356,90.1331933690235,0.01761696332860444
25000,runtime_embedding_seconds,10,10,78.52764860549942,1.4391768098748325,76.53706779103959,80.38635831599822,0.01832700756271014
25000,runtime_graph_construction_seconds,10,10,6.660386906604981,0.24404593795869758,6.4225428409990855,7.24121423100587,0.036641405579108596
25000,runtime_metrics_seconds,10,10,2.97796653379919,0.0757380801514135,2.8426444819779135,3.077648192003835,0.025432817760644676
52946,runtime_total_seconds,1,1,144.57260266004596,,144.57260266004596,144.57260266004596,
52946,runtime_embedding_seconds,1,1,121.50509739498375,,121.50509739498375,121.50509739498375,
52946,runtime_graph_construction_seconds,1,1,14.470560565008782,,14.470560565008782,14.470560565008782,
52946,runtime_metrics_seconds,1,1,8.558491653006058,,8.558491653006058,8.558491653006058,
