keyword,community,degree,weighted_degree
interdisciplinary,1,2,50
pre-service teacher,2,1,50
physical activity,4,2,50
undergraduate education,3,2,50
undergraduate research,3,1,49
hands-on activities,3,2,49
parental involvement,2,1,49
item response theory,2,1,49
task design,2,1,49
teacher,1,2,48
school performance,4,2,48
professional growth,2,2,48
conference,1,2,48
cognitive psychology,2,1,48
digital tools,2,1,48
child development,2,1,47
student outcomes,2,1,47
science teaching,3,2,47
activity theory,2,1,47
geoebra,2,1,47
teacher competence,2,1,46
proportional reasoning,2,1,46
technology use,2,1,46
teaching quality,2,1,45
interactive learning,2,1,45
mathematical proof,2,1,45
discourse analysis,2,1,44
instructional quality,2,1,44
climate change,3,2,44
engineering technology,3,2,44
argumentation,2,1,44
cognitive processes,2,1,44
online teaching,2,1,44
mathematical communication,2,1,43
algebraic thinking,2,1,43
qualitative approach,2,1,42
mechanical engineering,3,1,42
robotics education,3,1,42
graduate students,3,1,42
teacher practices,2,1,41
design thinking,3,1,41
educational reform,2,1,41
performance,1,2,41
urban education,2,1,41
integration,1,2,41
learning environment,2,1,40
science technology engineering,3,1,40
pedagogical practices,2,1,40
elementary school students,2,1,40
spatial reasoning,2,1,40
junior high schools,2,1,39
mathematical ability,2,1,39
prior knowledge,2,1,39
interdisciplinarity,2,1,39
3d printing,3,1,39
classroom practice,2,1,39
intelligent tutoring systems,2,1,39
beliefs,2,1,39
teacher collaboration,2,1,39
learning achievement,2,1,39
cognitive skills,2,1,38
mathematical practice,2,1,38
psychology,2,1,38
mathematical competencies,2,1,38
design-based research,2,1,38
professional learning,2,1,38
structural equation modeling,2,1,38
vocational education,2,1,38
elementary mathematics,2,1,37
academic success,2,1,37
research methodology,2,1,37
anthropological theory,2,1,37
teacher attitudes,2,1,37
mathematics performance,2,1,37
education policy,2,1,37
mathematical achievement,2,1,37
reading,1,1,37
visual impairment,2,1,37
teacher quality,2,1,37
mixed methods,2,1,37
intelligent tutoring system,2,1,37
working memory,2,1,36
cognitive load,2,1,36
self-regulation,2,1,36
mathematics instruction,2,1,36
community college,3,1,36
technological pedagogical content knowledge,2,1,36
tpack,2,1,36
cognitive demand,2,1,35
learning strategies,2,1,35
trigonometry,2,1,35
tertiary education,2,1,35
correction,2,1,35
learning trajectory,2,1,35
teacher perceptions,2,1,35
data science,4,1,35
mathematicians,2,1,35
student thinking,2,1,34
college students,2,1,34
educational context,2,1,33
learning difficulties,2,1,33
statistical literacy,2,1,33
systematic literature review,2,1,33
teaching materials,2,1,33
mathematical practices,2,1,33
classroom teaching,2,1,33
classroom discourse,2,1,33
electrical engineering,3,1,33
mathematical models,2,1,33
kindergarten,2,1,33
women in stem,3,1,33
reflection,2,1,33
differential calculus,2,1,32
student participation,2,1,32
digital games,2,1,32
informatics,1,1,32
in-service teachers,2,1,32
cultural context,2,1,32
cognitive science,2,1,32
qualitative analysis,2,1,32
rational numbers,2,1,32
women in engineering,3,1,31
learning environments,2,1,31
teacher support,2,1,31
scientific literacy,3,1,31
online education,2,1,31
education reform,2,1,31
mathematical discourse,2,1,31
self-concept,2,1,31
textbook analysis,2,1,31
qualitative study,2,1,31
computer algebra systems,2,1,31
pre-service teacher education,2,1,31
mathematical proficiency,2,1,31
semiotics,2,1,31
classroom practices,2,1,31
science technology,3,1,31
language diversity,2,1,30
higher order thinking skills,2,1,30
teacher practice,2,1,30
preservice teacher education,2,1,30
elementary school teachers,2,1,30
integral calculus,2,1,30
novice teachers,2,1,30
learning styles,2,1,30
ict integration,2,1,30
philosophy of mathematics,2,1,30
achievement gap,2,1,30
serious games,2,1,30
basic education,2,1,30
bilingual education,2,1,30
cluster analysis,2,1,30
teacher role,2,1,30
linear equations,2,1,29
digital resources,2,1,29
rural education,2,1,29
mathematics classroom,2,1,29
situated learning,2,1,29
classroom management,2,1,29
dyscalculia,2,1,29
apos theory,2,1,29
multilingualism,2,1,29
faculty development,3,1,29
learning mathematics,2,1,29
student understanding,2,1,29
biology,1,1,29
growth mindset,2,1,29
professional knowledge,2,1,29
mathematical performance,2,1,28
geometry education,2,1,28
