method,extraction_seconds,evaluation_seconds,extraction_source,evaluation_source
llama_3.1_8b,,2142.2970755920105,historical; unavailable,independent local reproduction
tfidf,4.3562121860159095,721.0689287670248,measured locally,measured locally
yake,25.03570005702204,333.09178372399765,measured locally,measured locally
keybert,1510.2826028850104,226.51137021699105,measured locally,measured locally
