language,documents,share
en,52773,0.9967136948269024
too_short,49,0.0009254537556424349
es,36,0.000679925208227095
de,33,0.0006232647742081704
fr,23,0.0004343966608117552
pt,9,0.00016998130205677376
it,7,0.0001322076793774907
af,4,7.554724535856612e-05
ca,3,5.666043401892458e-05
ro,3,5.666043401892458e-05
nl,2,3.777362267928306e-05
tl,2,3.777362267928306e-05
pl,1,1.888681133964153e-05
id,1,1.888681133964153e-05
hu,1,1.888681133964153e-05
