crs_community,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,291,535,1591,1077,509,215,377,1646,187,88,236,430,182,310,483,133,50,238,207,240,10,221,500,125,172,224,164,1875,310,392,1656,480,2050,408,75,369,328,810,523,377,30,124,401,982,129,664,1127,207,186,609
1,20,385,117,103,149,25,73,133,54,55,51,68,5,33,143,21,59,38,29,44,1,80,40,105,69,62,123,59,132,73,32,52,195,105,3,75,54,413,176,79,35,11,233,36,32,97,61,33,203,103
2,107,116,177,55,295,10,51,94,461,83,96,52,9,94,234,52,542,109,104,74,31,128,114,760,404,286,390,298,247,258,33,62,125,19,13,84,39,77,224,12,8,69,492,98,9,136,207,130,1565,225
3,0,0,10,0,0,2,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,1,1
4,5,10,15,3,23,1,7,5,12,29,70,3,1,5,436,4,4,98,2,3,0,23,0,8,12,7,8,3,15,17,0,6,13,3,2,5,0,15,51,4,1,3,14,32,1,7,4,4,34,13
5,3,0,2,0,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,35
6,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,2,0,1,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
