K,topic,npmi,top_words
20,19,0.13211306574634868,"['children', 'early', 'skills', 'reading', 'age', 'years', 'childhood', 'school', 'education', 'number']"
30,0,0.06713129394888592,"['motivation', 'studies', 'anxiety', 'learning', 'math', 'review', 'engagement', 'students', 'factors', 'cognitive']"
30,1,0.06846815998713424,"['education', 'teaching', 'history', 'article', 'la', 'en', 'work', 'didactic', 'analysis', 'school']"
30,2,0.03593265307253374,"['education', 'mathematics education', 'learning', 'mathematical', 'research', 'understanding', 'theory', 'paper', 'students', 'different']"
30,3,0.20026359374010352,"['mathematical', 'problem', 'solving', 'problems', 'problem solving', 'students', 'tasks', 'thinking', 'solve', 'modeling']"
30,4,0.0670435759093386,"['education', 'educational', 'development', 'steam', 'social', 'technology', 'knowledge', 'future', 'training', 'world']"
30,5,0.12089624129191259,"['group', 'students', 'intervention', 'control', 'experimental', 'study', 'groups', 'number', 'results', 'instruction']"
30,6,0.09165788643680005,"['school', 'education', 'schools', 'curriculum', 'secondary', 'international', 'countries', 'national', 'educational', 'pupils']"
30,7,0.13748706544091474,"['performance', 'achievement', 'students', 'academic', 'school', 'study', 'grade', 'scores', 'student', 'results']"
30,8,0.09001545899326654,"['learning', 'students', 'teaching', 'based', 'skills', 'design', 'thinking', 'approach', 'student', 'activities']"
30,9,0.174119314545716,"['science', 'physics', 'computer', 'computer science', 'science mathematics', 'sciences', 'mathematics science', 'biology', 'science education', 'scientific']"
30,10,0.07706539694232419,"['teachers', 'students', 'study', 'primary', 'school', 'teaching', 'attitudes', 'beliefs', 'education', 'perceptions']"
30,11,0.05101433018875763,"['students', 'assessment', 'education', 'university', 'level', 'disabilities', 'special', 'higher', 'skills', 'year']"
30,12,0.22370916949665304,"['knowledge', 'service', 'pre', 'pre service', 'teachers', 'education', 'service teachers', 'content', 'modelling', 'content knowledge']"
30,13,0.12096022459521873,"['self', 'efficacy', 'self efficacy', 'statistics', 'analysis', 'model', 'study', 'evaluation', 'statistical', 'instrument']"
30,14,0.08281277937776375,"['data', 'based', 'model', 'using', 'programming', 'computer', 'paper', 'systems', 'software', 'learning']"
30,15,0.11288324655750649,"['cognitive', 'health', 'spatial', 'physical', 'ability', 'medical', 'mental', 'inf', 'al', 'et']"
30,16,0.4831405311164403,"['stem', 'science', 'engineering', 'technology', 'science technology', 'technology engineering', 'stem education', 'engineering mathematics', 'education', 'mathematics stem']"
30,17,0.18602432728141724,"['geometry', 'ai', 'reasoning', 'intelligence', 'proof', 'artificial', 'artificial intelligence', 'algebra', 'geometric', 'geogebra']"
