n_documents,metric,n_runs,n_valid,mean,sd,min,max,cv
500,runtime_total_seconds,10,10,2.453387653903337,0.1680495864665732,2.1216644160158467,2.7437021249788813,0.06849695611666036
500,runtime_embedding_seconds,10,10,2.338335045799613,0.16220053126099923,2.016745875007473,2.6151527919864748,0.06936582144306588
500,runtime_graph_construction_seconds,10,10,0.09480959569918923,0.009071289938259827,0.08492333398316987,0.10911416701856069,0.09567902775412215
500,runtime_metrics_seconds,10,10,0.019103562500094994,0.0014171216204535652,0.016911833983613178,0.021121124998899177,0.07418101311975284
1000,runtime_total_seconds,10,10,4.921674604105647,0.5321448697924502,4.378222416009521,6.014612875005696,0.10812272500675614
1000,runtime_embedding_seconds,10,10,4.6674187540978895,0.5009764116132004,4.132039165997412,5.621288624999579,0.10733478995715871
1000,runtime_graph_construction_seconds,10,10,0.20906747919798363,0.046087481518674096,0.16938987499452196,0.33243925002170727,0.22044309184514524
1000,runtime_metrics_seconds,10,10,0.04322729580453597,0.007397166713584668,0.03690350000397302,0.058284750004531816,0.17112258761299753
5000,runtime_total_seconds,10,10,15.492873058197437,1.2500110985488548,14.250770042010117,18.067235708003864,0.08068297557549929
5000,runtime_embedding_seconds,10,10,14.31645800419501,1.24627830787808,13.0829463340051,16.879191832995275,0.08705214009728492
5000,runtime_graph_construction_seconds,10,10,0.8560950457991566,0.007809150302066349,0.8458593749965075,0.8714717919938266,0.009121826297659019
5000,runtime_metrics_seconds,10,10,0.31323390399920753,0.012621578684680071,0.29883183300262317,0.3335056659998372,0.040294420634338496
10000,runtime_total_seconds,10,10,26.386508595602937,0.7339324441939385,25.465210958005628,27.619069041014882,0.027814685733611663
10000,runtime_embedding_seconds,10,10,23.954597420705248,0.7294148110177102,23.05171299999347,25.17685641598655,0.030449888103201338
10000,runtime_graph_construction_seconds,10,10,1.701393720699707,0.007908161718849008,1.690405750006903,1.7108523329952732,0.00464804919792271
10000,runtime_metrics_seconds,10,10,0.7186904830945423,0.01197877120848741,0.7036681669997051,0.7411251659796108,0.016667496634864477
25000,runtime_total_seconds,10,10,53.83628932510037,2.565029199661713,51.5179135829967,60.33076479198644,0.04764498504293843
25000,runtime_embedding_seconds,10,10,46.8554306207021,2.575094144512837,44.545778833009535,53.32958975000656,0.05495828573977687
25000,runtime_graph_construction_seconds,10,10,4.396917233505519,0.11829821897177902,4.262120250001317,4.708182834001491,0.026904809139985494
25000,runtime_metrics_seconds,10,10,2.557424266403541,0.05334638853842268,2.510814208013471,2.657351166009903,0.020859420644132202
52946,runtime_total_seconds,1,1,92.44590820898884,,92.44590820898884,92.44590820898884,
52946,runtime_embedding_seconds,1,1,75.40871529202559,,75.40871529202559,75.40871529202559,
52946,runtime_graph_construction_seconds,1,1,9.477545417001238,,9.477545417001238,9.477545417001238,
52946,runtime_metrics_seconds,1,1,7.509436291002203,,7.509436291002203,7.509436291002203,
