source,target,weight,sim_count,sim_mean
teacher education,teacher learning,20,20,0.9202160239219666
teacher education,teacher preparation,55,55,0.8717976808547974
teacher knowledge,professional development,32,32,0.506600022315979
teacher knowledge,teacher education,44,44,0.8812730312347412
teacher preparation,stem education,43,43,0.49270808696746826
teacher training,educational technology,23,23,0.6318526268005371
teacher training,pedagogy,28,28,0.7516514658927917
teacher training,pre-service teachers,25,25,0.7305053472518921
teacher training,primary education,36,36,0.5871304869651794
teacher training,stem education,125,125,0.4891030192375183
teacher training,teacher education,37,37,0.9088219404220581
teachers,students,21,21,0.6920142769813538
teaching,learning,65,65,0.745903730392456
teaching methods,stem education,33,33,0.4670651853084564
teaching practices,stem education,28,28,0.5084303617477417
technology education,stem education,28,28,0.49960583448410034
undergraduate education,stem education,20,20,0.6002299785614014
undergraduate research,stem education,49,49,0.4920368194580078
undergraduate students,stem education,60,60,0.460330397884051
virtual reality,augmented reality,35,35,0.8360399501664298
women in stem,stem education,33,33,0.5939193331834042
