K,n_documents_total,n_crs_assigned,n_crs_ambiguous,n_crs_unassigned,crs_assignment_coverage,n_documents_compared,n_crs_communities_observed,n_lda_topics_observed,NMI,ARI,mean_dominant_topic_probability_all,mean_dominant_topic_probability_compared,runtime_transform_seconds
5,52922,39456,9016,4450,0.7455500547976267,39456,7,5,0.13129907400212945,0.11625368852718442,0.6381907606267527,0.641222973293006,114.97445666699787
10,52922,39456,9016,4450,0.7455500547976267,39456,7,10,0.1339206492718632,0.07384903256418857,0.5390604756736908,0.5414595762442298,3.655964750010753
15,52922,39456,9016,4450,0.7455500547976267,39456,7,15,0.11576400336625385,0.04141766457481516,0.4816886991247268,0.480007318688995,4.2184390409966
20,52922,39456,9016,4450,0.7455500547976267,39456,7,20,0.10775262700982859,0.03483519561276676,0.4356292538495637,0.4348120825366691,5.506704041996272
30,52922,39456,9016,4450,0.7455500547976267,39456,7,30,0.09849176948849392,0.03378991489250123,0.3947685576027963,0.39519377294178326,5.0702872080146335
40,52922,39456,9016,4450,0.7455500547976267,39456,7,40,0.09801605096207176,0.026221319492367664,0.3599905217716925,0.36016293234476543,4.538671416987199
50,52922,39456,9016,4450,0.7455500547976267,39456,7,50,0.09479600841117714,0.023429906949859358,0.3386527727832385,0.33884770562681255,7.681906416983111
