community,n_documents,proportion_assigned
0,24553,0.6222881184103812
1,4377,0.11093369829683698
2,9358,0.2371755879967559
3,33,0.0008363746958637469
4,1041,0.0263838199513382
5,57,0.001444647201946472
6,37,0.0009377534468775345
