K,topic,npmi,top_words
20,19,0.02623632819070404,"['education', 'mathematics education', 'research', 'social', 'mathematical', 'article', 'paper', 'new', 'work', 'theory']"
30,0,0.10264374802759024,"['computer', 'information', 'technology', 'software', 'use', 'systems', 'based', 'modelling', 'ict', 'web']"
30,1,0.1734120074305989,"['group', 'students', 'study', 'test', 'experimental', 'control', 'significant', 'effect', 'groups', 'results']"
30,2,0.11357905102582713,"['study', 'data', 'findings', 'research', 'qualitative', 'practices', 'experiences', 'interviews', 'analysis', 'case']"
30,3,0.13574798579525976,"['engineering', 'students', 'project', 'design', 'engineering education', 'paper', 'program', 'curriculum', 'science', 'engineering students']"
30,4,0.17341191608291376,"['science', 'computer', 'programming', 'computer science', 'computational', 'science mathematics', 'thinking', 'science education', 'robotics', 'mathematics science']"
30,5,0.07049665184820599,"['assessment', 'language', 'english', 'test', 'inf', 'assessments', 'formative', 'tests', 'conference', 'education']"
30,6,0.18871648046379275,"['teacher', 'knowledge', 'teachers', 'teaching', 'teacher education', 'content', 'education', 'prospective', 'preservice', 'mathematics teacher']"
30,7,0.11100360259139307,"['technology', 'education', 'digital', 'steam', 'skills', 'development', 'learning', 'educational', 'technologies', 'science technology']"
30,8,0.09501914116199478,"['children', 'reading', 'academic', 'school', 'health', 'disabilities', 'physical', 'pupils', 'age', 'education']"
30,9,0.08159440976173142,"['physics', 'geometry', 'biology', 'concepts', 'chemistry', 'visual', 'using', 'theory', 'book', '3d']"
30,10,0.13293117113557637,"['students', 'course', 'courses', 'university', 'student', 'college', 'year', 'undergraduate', 'calculus', 'study']"
30,11,0.1025469397315242,"['learning', 'students', 'student', 'teaching', 'based', 'online', 'classroom', 'based learning', 'environment', 'teaching learning']"
30,12,0.14013561239976882,"['data', 'model', 'based', 'analysis', 'using', 'decision', 'method', 'algorithm', 'models', 'tree']"
30,13,0.07590231955001867,"['students', 'research', 'study', 'thinking', 'data', 'learning', 'based', 'used', 'model', 'skills']"
30,14,0.04862626977691115,"['teaching', 'education', 'educational', 'results', 'training', 'process', 'research', 'analysis', 'study', 'mathematical']"
30,15,0.07548946406119988,"['students', 'mathematical', 'understanding', 'reasoning', 'tasks', 'concepts', 'conceptual', 'study', 'knowledge', 'number']"
30,16,0.17920109306279947,"['school', 'students', 'high', 'schools', 'high school', 'grade', 'school students', 'middle', 'achievement', 'math']"
30,17,0.09376862839476116,"['mathematical', 'ai', 'education', '2025', '2025 elsevier', 'modeling', 'educational', 'research', 'intelligence', 'study']"
30,18,0.08887268834169287,"['learning', 'design', 'game', 'based', 'students', 'games', 'activities', 'math', 'learners', 'using']"
30,19,0.03206375295696093,"['education', 'mathematics education', 'research', 'social', 'practice', 'chapter', 'learning', 'theory', 'paper', 'mathematical']"
30,20,0.062468819260666594,"['education', 'research', 'review', 'studies', 'curriculum', 'mathematics education', 'literature', 'history', 'analysis', 'textbooks']"
30,21,0.49075876408036145,"['stem', 'science', 'engineering', 'science technology', 'technology engineering', 'stem education', 'technology', 'engineering mathematics', 'students', 'mathematics stem']"
30,22,0.18120275808512498,"['gender', 'differences', 'performance', 'female', 'higher', 'study', 'education', 'girls', 'women', 'male']"
30,23,0.21122779798945512,"['teachers', 'teaching', 'service', 'teacher', 'pre', 'professional', 'mathematics teachers', 'pre service', 'development', 'study']"
30,24,0.2180345853788828,"['problem', 'solving', 'problems', 'problem solving', 'students', 'mathematical', 'solve', 'skills', 'real', 'thinking']"
30,25,0.11488846774767089,"['program', 'research', 'science', 'university', 'programs', 'faculty', 'education', 'graduate', 'national', 'community']"
30,26,0.09296450057575248,"['international', 'countries', 'education', 'quality', 'south', 'science', 'scale', 'study', 'pisa', 'national']"
30,27,0.21005610647079734,"['children', 'early', 'skills', 'spatial', 'cognitive', 'childhood', 'numeracy', 'early childhood', 'development', 'preschool']"
30,28,0.17001762638434223,"['students', 'self', 'study', 'academic', 'achievement', 'efficacy', 'performance', 'factors', 'self efficacy', 'anxiety']"
30,29,0.10327343067682529,"['2013', '2011', '2014', '2012', '2010', '2014 elsevier', '2013 elsevier', 'et', '2009', '2011 elsevier']"
40,0,0.056109657531279736,"['model', 'based', 'modelling', 'systems', 'education', 'process', 'evaluation', 'development', 'methods', 'educational']"
40,1,0.1734120074305989,"['group', 'students', 'study', 'test', 'experimental', 'control', 'significant', 'effect', 'groups', 'results']"
40,2,0.11357905102582713,"['study', 'data', 'findings', 'qualitative', 'interviews', 'research', 'analysis', 'experiences', 'practices', 'case']"
40,3,0.1485816063134273,"['engineering', 'students', 'design', 'project', 'engineering education', 'paper', 'science', 'engineering students', 'engineers', 'curriculum']"
40,4,0.2724196720400379,"['science', 'computer', 'programming', 'computer science', 'computational', 'thinking', 'computing', 'computational thinking', 'ct', 'science mathematics']"
40,5,0.1636890362250617,"['assessment', 'space', 'test', 'items', 'instrument', 'validity', 'scale', 'inf', 'measurement', 'reliability']"
40,6,0.11591722049830139,"['curriculum', 'content', 'teacher', 'teaching', 'beliefs', 'standards', 'classroom', 'instruction', 'instructional', 'reform']"
40,7,0.4112480511658875,"['stem', 'education', 'science', 'technology', 'stem education', 'science technology', 'technology engineering', 'engineering', 'engineering mathematics', 'steam']"
40,8,0.1417117194094151,"['children', 'school', 'age', 'years', 'reading', 'academic', 'parents', 'child', 'education', 'year']"
40,9,0.15459295557481997,"['physics', 'biology', 'chemistry', 'book', 'equations', 'applications', 'concepts', 'theory', 'mathematics physics', 'topics']"
40,10,0.14431041944107995,"['students', 'course', 'courses', 'university', 'student', 'college', 'year', 'undergraduate', 'calculus', 'level']"
40,11,0.11453029276879054,"['learning', 'based', 'students', 'student', 'teaching', 'based learning', 'outcomes', 'approach', 'active', 'learning outcomes']"
40,12,0.14373524232663548,"['data', 'based', 'model', 'decision', 'using', 'algorithm', 'tree', 'learning', 'analysis', 'machine']"
40,13,0.15843022082853403,"['school', 'students', 'high', 'high school', 'secondary', 'school students', 'schools', 'elementary', 'primary', 'middle']"
40,14,0.07066491138793565,"['teaching', 'education', 'results', 'training', 'research', 'analysis', 'educational', 'la', 'process', 'en']"
40,15,0.12332117813791513,"['number', 'students', 'disabilities', 'arithmetic', 'numbers', 'fractions', 'errors', 'fraction', 'study', 'difficulties']"
40,16,0.09476518146028733,"['achievement', 'school', 'schools', 'students', 'student', 'effects', 'data', 'educational', 'rural', 'outcomes']"
40,17,0.10117928136458477,"['mathematical', 'ai', '2025', 'education', '2025 elsevier', 'modeling', 'educational', 'competencies', 'intelligence', 'study']"
40,18,0.05685410657254067,"['math', 'learning', 'design', 'learners', 'activities', 'tutoring', 'research', 'realistic', 'trajectory', 'concept']"
40,19,0.040525636283825724,"['education', 'mathematics education', 'research', 'chapter', 'social', 'practice', 'theory', 'paper', 'issues', 'work']"
40,20,0.13756397624805053,"['research', 'education', 'studies', 'review', 'literature', 'analysis', 'mathematics education', 'systematic', 'articles', 'field']"
40,21,0.3355902716351982,"['stem', 'gender', 'women', 'science', 'students', 'engineering', 'technology', 'career', 'science technology', 'technology engineering']"
40,22,0.1333470748380337,"['performance', 'statistics', 'test', 'students', 'scores', 'statistical', 'student', 'results', 'academic performance', 'grades']"
40,23,0.22663622271904565,"['teachers', 'teacher', 'teaching', 'service', 'mathematics teachers', 'pre', 'education', 'teacher education', 'pre service', 'study']"
40,24,0.21720303221105428,"['problem', 'solving', 'problems', 'problem solving', 'students', 'mathematical', 'solve', 'skills', 'solution', 'real']"
40,25,0.12161779362370435,"['program', 'science', 'research', 'faculty', 'university', 'programs', 'students', 'graduate', 'community', 'national']"
40,26,0.10633933459516179,"['international', 'countries', 'science', 'education', 'mathematics science', 'pisa', 'study', 'educational', 'chinese', 'national']"
40,27,0.1363127430932018,"['skills', 'cognitive', 'spatial', 'numeracy', 'health', 'ability', 'abilities', 'mental', 'memory', 'training']"
40,28,0.15965338820998504,"['self', 'students', 'study', 'academic', 'factors', 'efficacy', 'achievement', 'self efficacy', 'results', 'motivation']"
40,29,0.05692949015945234,"['lesson', 'special', 'education', 'study', 'business', 'media', 'inclusive', 'science', 'indigenous', 'springer']"
40,30,0.13471304450978006,"['robotics', 'south', 'africa', 'energy', 'african', 'robot', 'learners', 'south africa', 'robots', 'educational']"
40,31,0.07590231955001867,"['students', 'research', 'learning', 'study', 'thinking', 'based', 'data', 'used', 'skills', 'model']"
40,32,0.08703034849477699,"['students', 'mathematical', 'understanding', 'reasoning', 'concepts', 'conceptual', 'thinking', 'concept', 'use', 'study']"
40,33,0.2630960381795919,"['online', 'game', 'learning', 'games', '19', 'covid', 'pandemic', 'covid 19', 'face', 'distance']"
40,34,0.15240626927444315,"['development', 'professional', 'early', 'professional development', 'childhood', 'early childhood', 'practice', 'teachers', 'support', 'learning']"
40,35,0.14185048144114631,"['technology', 'digital', 'use', 'teaching', 'technologies', 'software', 'ict', 'tools', 'learning', 'information']"
40,36,0.08445233781398426,"['language', 'english', 'social', 'sciences', 'education', 'pupils', 'subjects', 'science', 'subject', 'natural']"
40,37,0.09070849500782911,"['learning', 'students', 'design', 'classroom', 'virtual', 'interactive', 'use', 'educational', 'environment', 'using']"
40,38,0.11386547940916937,"['education', 'higher', 'higher education', 'policy', 'institutions', 'economic', 'development', 'public', 'national', 'graduates']"
40,39,0.08198675254648019,"['knowledge', 'mathematical', 'tasks', 'geometry', 'textbooks', 'education', 'mathematical knowledge', 'et', 'history', 'al']"
50,0,0.10101150090517023,"['systems', 'modelling', 'based', 'control', 'management', 'simulation', 'fuzzy', 'network', 'model', 'mathematical modelling']"
50,1,0.1734120074305989,"['group', 'students', 'test', 'experimental', 'study', 'control', 'significant', 'effect', 'groups', 'results']"
50,2,0.11351138989226654,"['study', 'data', 'findings', 'qualitative', 'experiences', 'interviews', 'research', 'identity', 'analysis', 'case']"
50,3,0.12325210314091868,"['engineering', 'design', 'students', 'engineering education', 'project', 'engineering students', 'paper', 'curriculum', 'engineers', 'education']"
50,4,0.31965099801244673,"['computer', 'science', 'programming', 'computer science', 'computational', 'thinking', 'computing', 'computational thinking', 'ct', 'cs']"
50,5,0.25133889525456354,"['test', 'instrument', 'items', 'validity', 'measurement', 'inf', 'measure', 'scale', 'reliability', 'item']"
50,6,0.25409584293121007,"['self', 'efficacy', 'self efficacy', 'anxiety', 'attitudes', 'confidence', 'beliefs', 'positive', 'emotions', 'mathematics anxiety']"
50,7,0.10280129342619192,"['education', 'steam', 'educational', 'challenges', 'development', 'skills', 'technology', 'reality', '2025', '2025 elsevier']"
50,8,0.15847918648457293,"['reading', 'academic', 'health', 'scores', 'age', 'performance', 'risk', 'years', 'physical', 'achievement']"
50,9,0.15459295557481997,"['physics', 'biology', 'chemistry', 'book', 'equations', 'mathematics physics', 'applications', 'topics', 'concepts', 'theory']"
50,10,0.14541370568766115,"['students', 'course', 'courses', 'university', 'student', 'year', 'college', 'undergraduate', 'higher', 'calculus']"
50,11,0.09207598905640517,"['learning', 'based', 'students', 'based learning', 'teaching', 'model', 'student', 'mathematics learning', 'approach', 'outcomes']"
50,12,0.12644655460109006,"['data', 'model', 'based', 'decision', 'algorithm', 'using', 'tree', 'method', 'paper', 'analysis']"
50,13,0.1281578326680829,"['students', 'grade', 'elementary', 'school', 'elementary school', 'grade students', 'disabilities', 'creativity', 'special', 'special education']"
50,14,0.07066491138793568,"['teaching', 'education', 'training', 'educational', 'results', 'process', 'research', 'la', 'analysis', 'en']"
50,15,0.06475046964730442,"['students', 'understanding', 'statistics', 'conceptual', 'knowledge', 'statistical', 'questions', 'difficulties', 'study', 'fractions']"
50,16,0.20605529530004543,"['school', 'high', 'high school', 'students', 'middle', 'schools', 'school students', 'middle school', 'school mathematics', 'math']"
50,17,0.10744037735599708,"['mathematical', 'modeling', 'students', 'knowledge', 'mathematical knowledge', 'students mathematical', 'competencies', 'competence', 'mathematical concepts', 'concepts']"
50,18,0.05291767343722766,"['math', 'learning', 'learners', 'design', 'concept', 'concepts', 'activities', 'research', 'realistic', 'education']"
50,19,0.030901796886537762,"['education', 'mathematics education', 'research', 'chapter', 'paper', 'issues', 'new', 'article', 'practice', 'theoretical']"
50,20,0.16119879474700788,"['research', 'education', 'review', 'studies', 'literature', 'analysis', 'systematic', 'mathematics education', 'articles', 'published']"
50,21,0.48314053111644023,"['stem', 'science', 'technology', 'stem education', 'science technology', 'technology engineering', 'engineering', 'education', 'engineering mathematics', 'mathematics stem']"
50,22,0.07509875782766441,"['2013', '2012', 'algebra', '2012 elsevier', '2013 elsevier', 'writing', '2011', 'time', 'group', 'exam']"
50,23,0.13260978159979098,"['teachers', 'practices', 'classroom', 'curriculum', 'instruction', 'teaching', 'instructional', 'classrooms', 'standards', 'support']"
50,24,0.25415729807059606,"['problem', 'solving', 'problems', 'problem solving', 'students', 'solve', 'skills', 'solution', 'solving skills', 'posing']"
50,25,0.0738275451789917,"['science', 'education', 'university', 'national', 'space', 'research', 'new', 'scientific', 'international', 'technology']"
50,26,0.07778762888831979,"['development', 'based', 'media', 'model', 'literacy', 'research', 'learning', 'module', 'design', 'material']"
50,27,0.13667583419080453,"['skills', 'spatial', 'ability', 'training', 'abilities', 'cognitive', 'mental', 'memory', 'reasoning', 'medical']"
50,28,0.12992272027378032,"['students', 'academic', 'performance', 'study', 'achievement', 'factors', 'results', 'motivation', 'relationship', 'variables']"
50,29,0.08773821703434659,"['cognitive', 'knowledge', 'domain', 'science', 'business', 'specific', 'springer', 'research', 'psychology', 'media']"
50,30,0.12012561895583189,"['robotics', 'south', 'africa', 'african', 'energy', 'robot', 'educational', 'south africa', 'robots', 'open']"
50,31,0.06740286389301482,"['students', 'research', 'study', 'thinking', 'data', 'skills', 'used', 'ability', 'education', 'analysis']"
50,32,0.06176187843176864,"['students', 'analysis', 'reasoning', 'understanding', 'proof', 'visual', 'different', 'use', 'representations', 'study']"
50,33,0.2630960381795919,"['online', 'game', 'learning', 'games', '19', 'covid', 'pandemic', 'covid 19', 'face', 'distance']"
50,34,0.13113323361157045,"['professional', 'development', 'professional development', 'teachers', 'practice', 'research', 'teacher', 'project', 'based', 'design']"
50,35,0.12715707199514215,"['technology', 'use', 'digital', 'teaching', 'technologies', 'software', 'information', 'using', 'tools', 'computer']"
50,36,0.09903328261240088,"['social', 'sciences', 'life', 'people', 'natural', 'subject', 'human', 'knowledge', 'society', 'science']"
50,37,0.09789010571225529,"['learning', 'students', 'environment', 'classroom', 'design', 'activities', 'student', 'engagement', 'virtual', 'mobile']"
50,38,0.11984534117180282,"['assessment', 'evaluation', 'assessments', 'feedback', 'student', 'formative', 'scale', 'large', 'quality', 'based']"
