K,NPMI,perplexity,fit_time_seconds,selected_by_npmi
5,0.11042864621020707,4142.74492372415,206.29292183401412,False
10,0.11937067576859954,3753.9730460562505,242.81283624999924,False
15,0.13226618080129668,3589.2161476537062,259.3611714580038,False
20,0.1262595352090679,3502.6933904853486,236.0078999590187,False
30,0.13878538004759086,3369.1128189794144,316.3742384579964,False
40,0.14684214679406846,3298.4100037555468,337.4480697910185,False
50,0.15672979927849903,3267.092774352045,371.53574912500335,True
