bin,count
"(-0.001, 0.05]",0
"(0.05, 0.1]",0
"(0.1, 0.15]",0
"(0.15, 0.2]",0
"(0.2, 0.25]",0
"(0.25, 0.3]",0
"(0.3, 0.35]",0
"(0.35, 0.4]",0
"(0.4, 0.45]",0
"(0.45, 0.5]",0
"(0.5, 0.55]",0
"(0.55, 0.6]",0
"(0.6, 0.65]",0
"(0.65, 0.7]",0
"(0.7, 0.75]",697
"(0.75, 0.8]",282
"(0.8, 0.85]",91
"(0.85, 0.9]",19
"(0.9, 0.95]",4
"(0.95, 1.0]",0
