category,keywords,share
null_token,192,0.0007256619775800685
exact_original,119748,0.452586304641969
verbatim_text,106300,0.40175973029563167
verbatim_metadata,1484,0.005608762368379279
soft_original,19206,0.07258887469480622
soft_text,1093,0.004130981986953202
ungrounded,16563,0.0625996840346806
