model,jaccard_lex,soft_precision,soft_recall,soft_f1,soft_mean_max,global_sem_sim,jaccard_lex_sd,soft_precision_sd,soft_recall_sd,soft_f1_sd,soft_mean_max_sd,global_sem_sim_sd
llama-3.1-8b-instruct,0.14222759742800065,0.7939,0.46699910279110396,0.5651831270053578,0.752154575675726,0.8041979337632656,0.11179684292324664,0.20691591794385775,0.17993063871057585,0.1626451450261046,0.07914918508676885,0.0784679612919311
llama-3.3-70b-instruct,0.13221834197673593,0.81405,0.47893967916600877,0.5809344147777331,0.7569587871730328,0.8110259518176317,0.10328329381388682,0.20461801427509488,0.1793399897981308,0.16315999160647368,0.0787990036036629,0.07881812262746113
