doc,n_8b,n_70b,soft_recall,soft_precision,soft_f1,soft_mean_max,jaccard_lex,global_sem_sim,identical_set
0,5,5,0.8,0.8,0.8000000000000002,0.9199960231781006,0.6666666666666666,0.8871310949325562,0.0
1,5,5,0.8,0.8,0.8000000000000002,0.8807916045188904,0.6666666666666666,0.9219714999198914,0.0
2,5,5,1.0,0.8,0.888888888888889,0.9277077913284302,0.6666666666666666,0.9527992010116577,0.0
3,5,5,1.0,1.0,1.0,0.9808014631271362,0.6666666666666666,0.9817438721656799,0.0
4,5,5,0.8,0.8,0.8000000000000002,0.8903997540473938,0.6666666666666666,0.924637496471405,0.0
5,5,5,0.8,0.8,0.8000000000000002,0.8258111476898193,0.25,0.8996312022209167,0.0
6,5,5,1.0,1.0,1.0,0.9040060043334961,0.42857142857142855,0.9674940705299377,0.0
7,5,5,1.0,1.0,1.0,0.8898910284042358,0.25,0.8893666863441467,0.0
8,5,5,0.8,0.8,0.8000000000000002,0.8889431953430176,0.6666666666666666,0.9568614363670349,0.0
9,5,5,0.8,0.8,0.8000000000000002,0.9047484397888184,0.42857142857142855,0.916982114315033,0.0
10,5,5,1.0,0.8,0.888888888888889,0.8955916166305542,0.42857142857142855,0.9426369667053223,0.0
11,5,5,0.8,0.8,0.8000000000000002,0.8741277456283569,0.6666666666666666,0.9333199858665466,0.0
12,5,5,0.8,0.8,0.8000000000000002,0.9018676280975342,0.6666666666666666,0.9263132810592651,0.0
13,5,5,1.0,1.0,1.0,0.9534355401992798,0.6666666666666666,0.9850752353668213,0.0
14,5,5,0.6,0.6,0.6,0.7556653618812561,0.42857142857142855,0.8417004346847534,0.0
15,5,5,1.0,1.0,1.0,0.9704222679138184,0.6666666666666666,0.9579214453697205,0.0
16,5,5,0.8,0.8,0.8000000000000002,0.9036203622817993,0.6666666666666666,0.9071078896522522,0.0
17,5,5,0.6,0.6,0.6,0.7660136222839355,0.42857142857142855,0.7400618195533752,0.0
18,5,5,0.8,0.8,0.8000000000000002,0.9063902497291565,0.6666666666666666,0.9229953289031982,0.0
19,5,5,0.8,0.8,0.8000000000000002,0.8496813774108887,0.25,0.8701889514923096,0.0
20,5,5,0.8,0.8,0.8000000000000002,0.8999207019805908,0.6666666666666666,0.9395378828048706,0.0
21,5,5,0.8,0.8,0.8000000000000002,0.8553376197814941,0.42857142857142855,0.9036514163017273,0.0
22,5,5,0.8,1.0,0.888888888888889,0.8673168420791626,0.25,0.9574776887893677,0.0
23,5,5,0.6,0.6,0.6,0.7897509336471558,0.25,0.89780592918396,0.0
24,5,5,0.8,1.0,0.888888888888889,0.9062117338180542,0.42857142857142855,0.907626748085022,0.0
25,5,5,0.8,0.8,0.8000000000000002,0.8530207872390747,0.42857142857142855,0.9502723217010498,0.0
26,5,5,0.8,0.8,0.8000000000000002,0.857486367225647,0.42857142857142855,0.9623885750770569,0.0
27,5,5,0.6,0.6,0.6,0.7393391132354736,0.1111111111111111,0.9120014905929565,0.0
28,5,5,0.8,0.8,0.8000000000000002,0.9156554937362671,0.42857142857142855,0.9858990907669067,0.0
29,5,5,0.8,1.0,0.888888888888889,0.923351526260376,0.42857142857142855,0.9711235165596008,0.0
30,5,5,0.6,0.6,0.6,0.7940099835395813,0.42857142857142855,0.8915901780128479,0.0
31,5,5,1.0,1.0,1.0,1.0000001192092896,1.0,0.9889228343963623,1.0
32,5,5,0.8,0.8,0.8000000000000002,0.9192831516265869,0.6666666666666666,0.9434674382209778,0.0
33,5,5,0.8,0.6,0.6857142857142857,0.830697774887085,0.42857142857142855,0.9208129048347473,0.0
34,5,5,0.8,0.8,0.8000000000000002,0.8875776529312134,0.42857142857142855,0.9445962905883789,0.0
35,5,5,0.8,0.8,0.8000000000000002,0.8843238353729248,0.42857142857142855,0.9167709946632385,0.0
36,5,5,0.6,0.6,0.6,0.8605623841285706,0.42857142857142855,0.9198575019836426,0.0
37,5,5,0.8,0.8,0.8000000000000002,0.8999696373939514,0.6666666666666666,0.9700674414634705,0.0
38,5,5,0.8,0.8,0.8000000000000002,0.8616129159927368,0.25,0.945102870464325,0.0
39,5,5,1.0,1.0,1.0,0.9740279912948608,0.6666666666666666,0.9779132604598999,0.0
40,5,5,1.0,1.0,1.0,1.0000001192092896,1.0,0.9830151200294495,1.0
41,5,5,0.8,0.8,0.8000000000000002,0.9142861366271973,0.6666666666666666,0.9255390763282776,0.0
42,5,5,0.8,0.8,0.8000000000000002,0.8652064800262451,0.42857142857142855,0.8467768430709839,0.0
43,5,5,0.8,0.8,0.8000000000000002,0.860461950302124,0.42857142857142855,0.9463773965835571,0.0
44,5,5,0.8,0.8,0.8000000000000002,0.8843677639961243,0.6666666666666666,0.9459261894226074,0.0
45,5,5,0.6,0.4,0.48,0.7589123845100403,0.25,0.7523629665374756,0.0
46,5,5,1.0,1.0,1.0,0.9419261813163757,0.6666666666666666,0.9857486486434937,0.0
47,5,5,0.8,0.8,0.8000000000000002,0.8503533601760864,0.25,0.934522807598114,0.0
48,5,5,1.0,1.0,1.0,0.8815147876739502,0.25,0.9654713869094849,0.0
49,5,5,0.8,1.0,0.888888888888889,0.8744988441467285,0.42857142857142855,0.94296795129776,0.0
50,5,5,0.8,0.8,0.8000000000000002,0.8833564519882202,0.42857142857142855,0.8743983507156372,0.0
51,5,5,1.0,1.0,1.0,1.0,1.0,0.9978991150856018,1.0
52,5,5,0.8,0.8,0.8000000000000002,0.904944658279419,0.42857142857142855,0.9828022122383118,0.0
53,5,5,0.8,0.6,0.6857142857142857,0.7610242962837219,0.25,0.8493754863739014,0.0
54,5,5,0.8,0.8,0.8000000000000002,0.872545599937439,0.42857142857142855,0.7647314071655273,0.0
55,5,5,0.6,0.6,0.6,0.7394994497299194,0.1111111111111111,0.8361220955848694,0.0
56,5,5,1.0,0.8,0.888888888888889,0.8096400499343872,0.1111111111111111,0.9123897552490234,0.0
57,5,5,1.0,1.0,1.0,0.9548013806343079,0.6666666666666666,0.9873725175857544,0.0
58,5,5,1.0,1.0,1.0,0.954017162322998,0.42857142857142855,0.9831830859184265,0.0
59,5,5,0.8,0.6,0.6857142857142857,0.8420852422714233,0.1111111111111111,0.9083143472671509,0.0
60,5,5,0.8,0.8,0.8000000000000002,0.9003783464431763,0.6666666666666666,0.9489866495132446,0.0
61,5,5,0.8,0.8,0.8000000000000002,0.8693928122520447,0.6666666666666666,0.8830876350402832,0.0
62,5,5,0.8,0.8,0.8000000000000002,0.8939433097839355,0.6666666666666666,0.9360495209693909,0.0
63,5,5,0.8,0.6,0.6857142857142857,0.7959667444229126,0.25,0.8960524797439575,0.0
64,5,5,1.0,0.6,0.7499999999999999,0.8564423322677612,0.25,0.9188852906227112,0.0
65,5,5,0.8,1.0,0.888888888888889,0.9155328273773193,0.6666666666666666,0.8974787592887878,0.0
66,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,5,5,0.8,0.8,0.8000000000000002,0.9018511176109314,0.6666666666666666,0.9486977458000183,0.0
68,5,5,1.0,0.8,0.888888888888889,0.8921232223510742,0.25,0.9095376133918762,0.0
