language,documents,share
en,52943,0.99648033126294
too_short,49,0.000922266139657444
es,49,0.000922266139657444
de,33,0.0006211180124223603
fr,23,0.0004329004329004329
pt,9,0.0001693958215697346
it,7,0.00013175230566534913
af,4,7.528703180877094e-05
ca,3,5.6465273856578205e-05
ro,3,5.6465273856578205e-05
nl,2,3.764351590438547e-05
tl,2,3.764351590438547e-05
pl,1,1.8821757952192734e-05
id,1,1.8821757952192734e-05
hu,1,1.8821757952192734e-05
