period,de,en,es,fr,other,pt,too_short
2000-2005,0.000697350069735007,0.9912831241283124,0.0,0.0017433751743375174,0.0024407252440725243,0.0,0.0038354253835425384
2006-2010,0.000562957402889848,0.9953086883092512,0.0007506098705197974,0.000562957402889848,0.0003753049352598987,0.0,0.0024394820791893415
2011-2015,0.0003257328990228013,0.9958740499457112,0.0007600434310532031,0.0008686210640608035,0.0003257328990228013,0.00010857763300760044,0.001737242128121607
2016-2020,0.000379674745301525,0.9970891602860217,0.0008226286148199709,0.0003163956210846042,0.00044295386951844585,0.0005062329937353667,0.00044295386951844585
2021-2026,0.0009541026413578387,0.9973385557898966,0.0012553982123129457,0.00010043185698503566,0.0002510796424625891,0.0,0.00010043185698503566
