lang_title,de,en,es,fr,other,pt,too_short
de,32,539,0,0,0,0,0
en,1,49667,2,3,1,1,0
es,0,1168,46,0,0,0,0
fr,0,155,0,20,0,0,0
other,0,692,1,0,23,0,0
pt,0,515,0,0,0,8,0
too_short,0,207,0,0,0,0,49
