corpus_position,source_row_abs,EID_o_identificador
1,1,2-s2.0-0033660524
7,7,2-s2.0-8644291002
9,9,2-s2.0-8644280479
10,10,2-s2.0-8644277146
16,16,2-s2.0-8644260091
21,21,2-s2.0-8644243858
23,23,2-s2.0-8644233363
37,37,2-s2.0-79953050978
40,40,2-s2.0-3943084162
46,46,2-s2.0-1842637776
47,47,2-s2.0-17044444083
60,60,2-s2.0-0034471187
61,61,2-s2.0-0034471117
65,65,2-s2.0-0034429301
70,70,2-s2.0-85167397859
75,75,2-s2.0-0034644641
83,83,2-s2.0-0013238159
87,87,2-s2.0-20444489467
98,98,2-s2.0-0034607969
105,105,2-s2.0-0010838586
106,106,2-s2.0-84937047204
113,113,2-s2.0-0034635405
114,114,2-s2.0-0034635358
118,118,2-s2.0-85089443123
123,123,2-s2.0-85023825286
124,124,2-s2.0-85023485385
135,135,2-s2.0-84992421933
151,151,2-s2.0-84871590639
160,160,2-s2.0-53349093437
170,170,2-s2.0-33750632339
175,175,2-s2.0-3042573883
177,177,2-s2.0-29444456229
181,181,2-s2.0-24944473629
182,182,2-s2.0-24044474205
192,192,2-s2.0-22844454064
193,193,2-s2.0-22844453632
194,194,2-s2.0-22844453574
197,197,2-s2.0-19544377644
199,199,2-s2.0-19544374850
213,213,2-s2.0-0042349739
216,216,2-s2.0-0042185340
223,223,2-s2.0-0038286442
224,224,2-s2.0-0038022475
228,228,2-s2.0-0034612689
232,232,2-s2.0-0034550207
234,234,2-s2.0-0034543311
242,242,2-s2.0-0034345634
244,244,2-s2.0-0034343126
251,251,2-s2.0-0034203611
255,255,2-s2.0-0034196474
265,265,2-s2.0-0034000841
267,267,2-s2.0-0033976638
268,268,2-s2.0-0033923496
275,275,2-s2.0-0033872309
279,279,2-s2.0-0033760724
284,284,2-s2.0-0033740017
293,293,2-s2.0-0012096396
298,298,2-s2.0-0011262067
299,299,2-s2.0-0010738722
312,312,2-s2.0-8744314577
317,317,2-s2.0-8744304598
322,322,2-s2.0-8744301797
331,331,2-s2.0-8744282877
332,332,2-s2.0-8744278318
334,334,2-s2.0-8744275101
338,338,2-s2.0-8744271122
342,342,2-s2.0-8744258519
343,343,2-s2.0-8744256844
349,349,2-s2.0-8744242338
352,352,2-s2.0-8744232373
354,354,2-s2.0-8744231690
358,358,2-s2.0-85026672860
373,373,2-s2.0-32944458322
374,374,2-s2.0-3242722248
376,376,2-s2.0-30544440275
388,388,2-s2.0-0035693274
396,396,2-s2.0-0035569964
400,400,2-s2.0-0035552759
401,401,2-s2.0-0035292951
409,409,2-s2.0-85171829373
415,415,2-s2.0-4744349791
418,418,2-s2.0-0035725479
424,424,2-s2.0-0034981808
426,426,2-s2.0-85023947838
430,430,2-s2.0-0035947118
439,439,2-s2.0-0041870769
452,452,2-s2.0-6344292478
454,454,2-s2.0-6344226771
459,459,2-s2.0-85072449893
461,461,2-s2.0-85066191930
462,462,2-s2.0-85064781454
463,463,2-s2.0-85047686427
466,466,2-s2.0-85024073013
479,479,2-s2.0-85008776536
482,482,2-s2.0-84993737850
484,484,2-s2.0-84992850792
485,485,2-s2.0-84992829366
498,498,2-s2.0-84901922779
499,499,2-s2.0-84901268889
504,504,2-s2.0-84889286772
518,518,2-s2.0-56149108211
531,531,2-s2.0-34249805880
539,539,2-s2.0-3042789650
542,542,2-s2.0-27844507401
547,547,2-s2.0-23844468180
550,550,2-s2.0-19644390279
556,556,2-s2.0-18544390127
560,560,2-s2.0-17544405304
561,561,2-s2.0-17544400786
562,562,2-s2.0-17344392890
571,571,2-s2.0-0040487057
576,576,2-s2.0-0038793784
577,577,2-s2.0-0038775899
580,580,2-s2.0-0035824237
585,585,2-s2.0-0035691190
586,586,2-s2.0-0035667891
596,596,2-s2.0-0035581880
601,601,2-s2.0-0035537037
611,611,2-s2.0-0035457774
615,615,2-s2.0-0035419834
617,617,2-s2.0-0035381111
622,622,2-s2.0-0035359369
624,624,2-s2.0-0035343999
630,630,2-s2.0-0035223759
634,634,2-s2.0-0035202597
637,637,2-s2.0-0035201968
638,638,2-s2.0-0035197932
641,641,2-s2.0-0035194095
646,646,2-s2.0-0035076293
648,648,2-s2.0-0035037337
652,652,2-s2.0-0034981004
662,662,2-s2.0-0034776582
669,669,2-s2.0-0000624536
671,671,2-s2.0-8744315657
678,678,2-s2.0-8744292846
679,679,2-s2.0-8744289745
685,685,2-s2.0-8744277888
687,687,2-s2.0-8744274294
696,696,2-s2.0-8744255414
701,701,2-s2.0-8744246388
712,712,2-s2.0-8744234022
715,715,2-s2.0-8744229032
723,723,2-s2.0-84891688754
726,726,2-s2.0-84867302294
737,737,2-s2.0-3042600450
738,738,2-s2.0-2642556458
752,752,2-s2.0-0038715045
757,757,2-s2.0-0036995665
758,758,2-s2.0-0036992281
759,759,2-s2.0-0036989180
764,764,2-s2.0-0036954288
768,768,2-s2.0-0036954087
773,773,2-s2.0-0036949575
778,778,2-s2.0-0036949207
781,781,2-s2.0-0036911431
783,783,2-s2.0-0036890865
788,788,2-s2.0-0036404936
789,789,2-s2.0-0036405402
794,794,2-s2.0-0036875925
795,795,2-s2.0-0036864581
796,796,2-s2.0-0036417894
798,798,2-s2.0-0037078661
801,801,2-s2.0-1842450025
805,805,2-s2.0-85040561774
815,815,2-s2.0-0036064542
830,830,2-s2.0-0035998790
834,834,2-s2.0-0036228251
835,835,2-s2.0-3843123555
836,836,2-s2.0-3543000187
839,839,2-s2.0-0036207274
845,845,2-s2.0-5644287669
850,850,2-s2.0-0036499137
868,868,2-s2.0-85065366810
872,872,2-s2.0-85064306241
873,873,2-s2.0-85057399391
874,874,2-s2.0-85057365695
876,876,2-s2.0-85025312293
877,877,2-s2.0-85023821284
885,885,2-s2.0-84993728836
887,887,2-s2.0-84992889684
893,893,2-s2.0-84964510444
