corpus_position,source_row_abs,EID_o_identificador
241,241,2-s2.0-0034354897
656,656,2-s2.0-0034830126
791,791,2-s2.0-0036399334
835,835,2-s2.0-3843123555
971,971,2-s2.0-23844509230
1225,1225,2-s2.0-1542432697
1260,1260,2-s2.0-13944275621
1310,1310,2-s2.0-3042840196
1360,1360,2-s2.0-85159619155
1373,1373,2-s2.0-85139334949
1622,1622,2-s2.0-0037317953
1678,1678,2-s2.0-23944455055
1814,1814,2-s2.0-4544329041
1906,1906,2-s2.0-2442630384
2125,2125,2-s2.0-13244284690
2138,2138,2-s2.0-10444234228
2164,2164,2-s2.0-84895592857
2568,2568,2-s2.0-85032069143
2702,2702,2-s2.0-33344477881
2747,2747,2-s2.0-22544480039
2990,2990,2-s2.0-33644646004
3015,3015,2-s2.0-33749834342
3111,3111,2-s2.0-33745613552
3263,3263,2-s2.0-85040909489
3309,3309,2-s2.0-85029060772
3348,3348,2-s2.0-84993708955
3373,3373,2-s2.0-84926262407
3503,3503,2-s2.0-33846185875
3802,3802,2-s2.0-48149090247
3854,3854,2-s2.0-37349026702
4043,4043,2-s2.0-34247562775
4162,4162,2-s2.0-85142590535
4188,4188,2-s2.0-85029128556
4470,4470,2-s2.0-34249779824
4484,4484,2-s2.0-34248389382
4677,4677,2-s2.0-70450159575
4783,4783,2-s2.0-55349099187
4805,4805,2-s2.0-50849113742
4915,4915,2-s2.0-50649119452
4968,4968,2-s2.0-49149103168
5011,5011,2-s2.0-44749085969
5027,5027,2-s2.0-84917268849
5131,5131,2-s2.0-38049184717
5216,5216,2-s2.0-85029086686
5517,5517,2-s2.0-39749085780
5540,5540,2-s2.0-105011419799
5606,5606,2-s2.0-84871115805
5616,5616,2-s2.0-84867359004
5682,5682,2-s2.0-77952721149
5727,5727,2-s2.0-77949980676
5764,5764,2-s2.0-72149123904
5862,5862,2-s2.0-71149089606
5898,5898,2-s2.0-69349096698
6027,6027,2-s2.0-67349207132
6139,6139,2-s2.0-70349512270
6196,6196,2-s2.0-64349110761
6309,6309,2-s2.0-85179390706
6382,6382,2-s2.0-85029090087
6597,6597,2-s2.0-72849129480
6726,6726,2-s2.0-56349092023
6731,6731,2-s2.0-78650587508
6853,6853,2-s2.0-84859360206
6880,6880,2-s2.0-80053981315
6985,6985,2-s2.0-78751536195
7015,7015,2-s2.0-78649566460
7097,7097,2-s2.0-80053334118
7139,7139,2-s2.0-77957719045
7229,7229,2-s2.0-77956434652
7270,7270,2-s2.0-77956567011
7395,7395,2-s2.0-77954841001
7446,7446,2-s2.0-77953497142
7564,7564,2-s2.0-77749280602
7627,7627,2-s2.0-85056729746
7639,7639,2-s2.0-77949500846
7653,7653,2-s2.0-74249086551
7812,7812,2-s2.0-85029060299
7848,7848,2-s2.0-85029032549
7880,7880,2-s2.0-84957361910
7985,7985,2-s2.0-79953053271
8085,8085,2-s2.0-77955477741
8265,8265,2-s2.0-84892980218
8313,8313,2-s2.0-84866076418
8437,8437,2-s2.0-84858162436
8596,8596,2-s2.0-84860525640
8628,8628,2-s2.0-80052204911
8673,8673,2-s2.0-80052364311
8816,8816,2-s2.0-79960472382
8850,8850,2-s2.0-85057459190
8932,8932,2-s2.0-80755155980
8994,8994,2-s2.0-79955454704
9100,9100,2-s2.0-79953193770
9212,9212,2-s2.0-85136864629
9339,9339,2-s2.0-85029077346
9408,9408,2-s2.0-85029021625
9751,9751,2-s2.0-84939469377
9783,9783,2-s2.0-84887473720
9890,9890,2-s2.0-84872671299
10122,10122,2-s2.0-84866294625
10207,10207,2-s2.0-84912561696
10268,10268,2-s2.0-84864056593
10273,10273,2-s2.0-84863665113
10483,10483,2-s2.0-84857058435
10528,10528,2-s2.0-84859195346
10534,10534,2-s2.0-84859100872
10558,10558,2-s2.0-84858060055
10594,10594,2-s2.0-84858036069
10615,10615,2-s2.0-84857250441
10673,10673,2-s2.0-84855341988
10730,10730,2-s2.0-85076191566
10738,10738,2-s2.0-85071111149
10747,10747,2-s2.0-85070634310
11061,11061,2-s2.0-84891807086
11121,11121,2-s2.0-84871536028
11136,11136,2-s2.0-84869824795
11238,11238,2-s2.0-84861546854
11305,11305,2-s2.0-82055202972
11343,11343,2-s2.0-84944382904
11353,11353,2-s2.0-84890108422
11517,11517,2-s2.0-84888040368
11725,11725,2-s2.0-84884339769
11856,11856,2-s2.0-84883654633
11997,11997,2-s2.0-84879996855
12065,12065,2-s2.0-84891675053
12109,12109,2-s2.0-84892845371
12174,12174,2-s2.0-84878084053
12219,12219,2-s2.0-84877248899
12247,12247,2-s2.0-84876482828
12257,12257,2-s2.0-84876209489
12309,12309,2-s2.0-84875364562
12458,12458,2-s2.0-84868644829
12536,12536,2-s2.0-85092896116
12660,12660,2-s2.0-85018889235
12805,12805,2-s2.0-84917691366
12970,12970,2-s2.0-84894241131
13011,13011,2-s2.0-84890670514
13183,13183,2-s2.0-84878299701
13282,13282,2-s2.0-105011429976
13642,13642,2-s2.0-84907915335
14258,14258,2-s2.0-84940279989
14273,14273,2-s2.0-84939172466
14315,14315,2-s2.0-84927520177
14455,14455,2-s2.0-84910110167
14513,14513,2-s2.0-84907219163
14558,14558,2-s2.0-84906264259
15280,15280,2-s2.0-84960345917
15346,15346,2-s2.0-84953380036
15473,15473,2-s2.0-84942890692
15577,15577,2-s2.0-84941732268
15788,15788,2-s2.0-84937814840
15937,15937,2-s2.0-84942773837
16013,16013,2-s2.0-84928695747
16156,16156,2-s2.0-84926286800
16222,16222,2-s2.0-85019229830
16347,16347,2-s2.0-84990920572
16389,16389,2-s2.0-85041697064
16428,16428,2-s2.0-85128014399
16453,16453,2-s2.0-85098008623
16472,16472,2-s2.0-85078856916
16479,16479,2-s2.0-85073351686
16661,16661,2-s2.0-84973102905
16893,16893,2-s2.0-84947092907
16936,16936,2-s2.0-84944705634
16956,16956,2-s2.0-84944383470
17010,17010,2-s2.0-84942924060
17209,17209,2-s2.0-84928140007
17279,17279,2-s2.0-84922441968
17431,17431,2-s2.0-85104202650
18192,18192,2-s2.0-85092761007
18392,18392,2-s2.0-85089262623
18399,18399,2-s2.0-85088634852
18495,18495,2-s2.0-85086870975
18517,18517,2-s2.0-85087897990
18566,18566,2-s2.0-85075459886
18581,18581,2-s2.0-85091476910
18870,18870,2-s2.0-85087505141
18947,18947,2-s2.0-85086818279
18984,18984,2-s2.0-85084789766
19002,19002,2-s2.0-85083041684
19008,19008,2-s2.0-85082138226
19010,19010,2-s2.0-85081164315
19080,19080,2-s2.0-85086439608
19111,19111,2-s2.0-85085529446
19162,19162,2-s2.0-85083661363
19182,19182,2-s2.0-85084742973
19270,19270,2-s2.0-85079454840
19551,19551,2-s2.0-85082985375
19579,19579,2-s2.0-85082567070
19587,19587,2-s2.0-85082705901
19641,19641,2-s2.0-85091078077
19850,19850,2-s2.0-85078498756
19859,19859,2-s2.0-85075674738
19888,19888,2-s2.0-85078713268
19956,19956,2-s2.0-85063962114
19962,19962,2-s2.0-86000794553
19994,19994,2-s2.0-85152855046
20089,20089,2-s2.0-85128177696
20115,20115,2-s2.0-85123718260
20179,20179,2-s2.0-85108504105
20227,20227,2-s2.0-85105570936
20239,20239,2-s2.0-85104012653
20249,20249,2-s2.0-85103515333
20459,20459,2-s2.0-85097789859
20594,20594,2-s2.0-85095829510
20686,20686,2-s2.0-85091724320
20692,20692,2-s2.0-85091648255
20941,20941,2-s2.0-85087057617
21063,21063,2-s2.0-85084190864
21199,21199,2-s2.0-85080858702
21212,21212,2-s2.0-85079612315
21243,21243,2-s2.0-85078754184
21437,21437,2-s2.0-105013310251
21546,21546,2-s2.0-85077716405
21656,21656,2-s2.0-85077307513
21782,21782,2-s2.0-85076121291
21893,21893,2-s2.0-85076774412
21930,21930,2-s2.0-85081189713
22237,22237,2-s2.0-85081124123
22348,22348,2-s2.0-85097489442
22462,22462,2-s2.0-85072049075
22488,22488,2-s2.0-85064943467
22619,22619,2-s2.0-85069974445
22620,22620,2-s2.0-85069959481
22676,22676,2-s2.0-85070933482
22778,22778,2-s2.0-85073049821
22858,22859,2-s2.0-85078777545
22864,22865,2-s2.0-85078773655
22869,22870,2-s2.0-85078771643
22883,22884,2-s2.0-85078757875
22912,22913,2-s2.0-85078735663
23007,23008,2-s2.0-85070831202
23164,23165,2-s2.0-85073807529
23207,23208,2-s2.0-85062688872
23217,23218,2-s2.0-85057439100
23229,23230,2-s2.0-85070583752
23272,23273,2-s2.0-85065613772
23296,23297,2-s2.0-85064879410
23342,23343,2-s2.0-85064047855
23373,23374,2-s2.0-85067419965
23430,23431,2-s2.0-85063230655
23482,23483,2-s2.0-85063387143
23498,23499,2-s2.0-85063367454
23732,23733,2-s2.0-85058618445
23842,23843,2-s2.0-85180765917
23850,23851,2-s2.0-85180736996
23857,23858,2-s2.0-85180624537
24265,24266,2-s2.0-85079412107
24527,24528,2-s2.0-85073762093
24575,24576,2-s2.0-85073238893
24591,24592,2-s2.0-85073001190
25003,25004,2-s2.0-85065106091
25278,25279,2-s2.0-85058351080
25284,25285,2-s2.0-85058269834
25577,25578,2-s2.0-85055350995
25732,25733,2-s2.0-85049572903
25748,25749,2-s2.0-85057300661
25754,25755,2-s2.0-85048162016
25949,25950,2-s2.0-85050373891
26049,26050,2-s2.0-85064161294
26235,26236,2-s2.0-85051177610
26266,26267,2-s2.0-85048872320
26272,26273,2-s2.0-85058595321
26300,26301,2-s2.0-85061191859
26356,26357,2-s2.0-85041541059
26411,26412,2-s2.0-85048103045
26441,26442,2-s2.0-85048059879
26491,26492,2-s2.0-85049621929
26567,26568,2-s2.0-85096755142
26584,26585,2-s2.0-85047774155
26614,26615,2-s2.0-85048095735
26654,26655,2-s2.0-85045626871
26661,26662,2-s2.0-85045478915
26671,26672,2-s2.0-85042213645
26707,26708,2-s2.0-85045097686
26713,26714,2-s2.0-85044506965
26783,26784,2-s2.0-85046610804
26945,26946,2-s2.0-85042296523
27341,27342,2-s2.0-85065732625
27412,27413,2-s2.0-85063457307
27477,27478,2-s2.0-85061291007
27519,27520,2-s2.0-85060348907
27577,27578,2-s2.0-85058623166
27591,27592,2-s2.0-85058148575
27601,27602,2-s2.0-85057952632
27960,27961,2-s2.0-85044991699
28051,28052,2-s2.0-85040179251
28068,28069,2-s2.0-85035134124
28112,28113,2-s2.0-85021222516
28207,28208,2-s2.0-85042920395
28339,28340,2-s2.0-85043454503
28357,28358,2-s2.0-85034971170
28381,28382,2-s2.0-85039969951
28385,28386,2-s2.0-85041430955
28407,28408,2-s2.0-85040860192
28591,28592,2-s2.0-85031779309
28744,28745,2-s2.0-85029365613
28866,28867,2-s2.0-85028558479
29049,29050,2-s2.0-85044501614
29269,29270,2-s2.0-85030526674
29276,29277,2-s2.0-84994238887
29335,29336,2-s2.0-85046535279
29473,29474,2-s2.0-85020085199
29686,29687,2-s2.0-85017201856
29768,29769,2-s2.0-85013849971
29777,29778,2-s2.0-85011636671
29896,29897,2-s2.0-85013413623
29960,29961,2-s2.0-85151539083
30228,30229,2-s2.0-85042505644
30257,30258,2-s2.0-85041119733
30359,30360,2-s2.0-85035219473
30683,30684,2-s2.0-85020445568
31051,31052,2-s2.0-85006818117
31083,31084,2-s2.0-85006729144
31096,31097,2-s2.0-85006459465
31408,31409,2-s2.0-84980011674
31741,31742,2-s2.0-84970016745
31789,31790,2-s2.0-84978153633
31793,31794,2-s2.0-84978160646
32042,32043,2-s2.0-84960840546
32468,32469,2-s2.0-85019423915
32532,32533,2-s2.0-85018587527
32701,32702,2-s2.0-85006918744
32798,32799,2-s2.0-84992588858
32860,32861,2-s2.0-84987800426
32869,32870,2-s2.0-84984849065
32969,32970,2-s2.0-84975317274
32980,32981,2-s2.0-84973131017
33269,33270,2-s2.0-105009016306
33595,33596,2-s2.0-105012671812
33694,33695,2-s2.0-85212107256
33881,33882,2-s2.0-105010803415
33891,33892,2-s2.0-85219110158
33913,33914,2-s2.0-85210552586
34027,34028,2-s2.0-105003907922
34033,34034,2-s2.0-105005136886
34098,34099,2-s2.0-105004058987
34164,34165,2-s2.0-105002318896
34176,34177,2-s2.0-105002301484
34197,34198,2-s2.0-105001084767
34240,34241,2-s2.0-85218249119
34270,34271,2-s2.0-85207492092
34296,34297,2-s2.0-105012042441
34389,34390,2-s2.0-105000422682
34432,34433,2-s2.0-86000715290
34484,34485,2-s2.0-85208545942
34489,34490,2-s2.0-85207296159
34507,34508,2-s2.0-85197426284
34521,34522,2-s2.0-85174174354
34921,34922,2-s2.0-85212344559
35087,35088,2-s2.0-85145506367
35110,35111,2-s2.0-105013755705
35308,35309,2-s2.0-105012421764
35318,35319,2-s2.0-105012317213
35753,35754,2-s2.0-105008183433
35903,35904,2-s2.0-105006828111
36278,36279,2-s2.0-105002696014
36561,36562,2-s2.0-85212955731
36919,36920,2-s2.0-105001887845
36955,36956,2-s2.0-85215592053
37178,37179,2-s2.0-85199429394
37274,37275,2-s2.0-85204385477
37283,37284,2-s2.0-85218740581
37409,37410,2-s2.0-85191353513
37499,37500,2-s2.0-85202626717
37571,37572,2-s2.0-85191331663
37585,37586,2-s2.0-85184474964
37642,37643,2-s2.0-85199892623
37666,37667,2-s2.0-85208711351
37719,37720,2-s2.0-85199477087
37771,37772,2-s2.0-85171560208
37776,37777,2-s2.0-85167566428
37855,37856,2-s2.0-85202061242
38136,38137,2-s2.0-85193846923
38199,38200,2-s2.0-85186557715
38354,38355,2-s2.0-85192702733
38361,38362,2-s2.0-85190234546
38442,38443,2-s2.0-85190988796
38836,38837,2-s2.0-85179308669
38946,38947,2-s2.0-85219291814
38947,38948,2-s2.0-85219287733
38959,38960,2-s2.0-85219069069
39057,39058,2-s2.0-85217501468
39137,39138,2-s2.0-85215688658
39277,39278,2-s2.0-85212424411
39347,39348,2-s2.0-85211486232
39429,39430,2-s2.0-85210087520
39504,39505,2-s2.0-85208612157
39822,39823,2-s2.0-85203709663
39831,39832,2-s2.0-85203581805
39930,39931,2-s2.0-85201675448
40009,40010,2-s2.0-85200590202
40047,40048,2-s2.0-85200417818
40078,40079,2-s2.0-85200268858
40321,40322,2-s2.0-85197193502
40323,40324,2-s2.0-85197163960
40352,40353,2-s2.0-85196481432
40372,40373,2-s2.0-85196076889
40599,40600,2-s2.0-85191071305
40848,40849,2-s2.0-85185164341
40948,40949,2-s2.0-85182101370
41082,41083,2-s2.0-85161665826
41085,41086,2-s2.0-85161491128
41164,41165,2-s2.0-85139007129
41180,41181,2-s2.0-85132673106
41188,41189,2-s2.0-85130262601
41310,41311,2-s2.0-105005668248
41546,41547,2-s2.0-85181541080
41568,41569,2-s2.0-85179773942
41604,41605,2-s2.0-85175041996
41750,41751,2-s2.0-85176909599
41803,41804,2-s2.0-85175255052
41964,41965,2-s2.0-85168266507
42457,42458,2-s2.0-85170199789
42793,42794,2-s2.0-85159302289
42862,42863,2-s2.0-85165699313
42955,42956,2-s2.0-85136610996
42980,42981,2-s2.0-85151267790
42993,42994,2-s2.0-85158990308
42994,42995,2-s2.0-85158964278
43043,43044,2-s2.0-85166258358
43134,43135,2-s2.0-85129272281
43349,43350,2-s2.0-85218238238
43563,43564,2-s2.0-85185215646
43579,43580,2-s2.0-85184796686
43597,43598,2-s2.0-85183964169
43601,43602,2-s2.0-85183870409
43832,43833,2-s2.0-85179837628
43982,43983,2-s2.0-85175814667
43991,43992,2-s2.0-85175569247
44062,44063,2-s2.0-85174316966
44195,44196,2-s2.0-85171588209
44454,44455,2-s2.0-85165922585
44511,44512,2-s2.0-85164738744
44621,44622,2-s2.0-85162750715
44624,44625,2-s2.0-85162719765
44731,44732,2-s2.0-85159787103
44772,44773,2-s2.0-85158145491
45100,45101,2-s2.0-85144230837
45116,45117,2-s2.0-85142661704
45187,45188,2-s2.0-85133207388
45228,45229,2-s2.0-85126562608
45505,45506,2-s2.0-85144480360
45885,45886,2-s2.0-85141530111
45969,45970,2-s2.0-85114101153
46162,46163,2-s2.0-105005276910
46251,46252,2-s2.0-85137729057
46287,46288,2-s2.0-85137180494
46299,46300,2-s2.0-85136709827
46471,46472,2-s2.0-85132883776
46824,46825,2-s2.0-85129599949
46860,46861,2-s2.0-85129488723
47032,47033,2-s2.0-85123973859
47177,47178,2-s2.0-85108327405
47732,47733,2-s2.0-85145780380
48157,48158,2-s2.0-85135787071
48163,48164,2-s2.0-85135529027
48272,48273,2-s2.0-85133491306
48324,48325,2-s2.0-85132269795
48327,48328,2-s2.0-85132183495
48340,48341,2-s2.0-85131622060
48355,48356,2-s2.0-85130981258
48420,48421,2-s2.0-85130037735
48427,48428,2-s2.0-85129905463
48477,48478,2-s2.0-85128987727
48688,48689,2-s2.0-85123517419
48695,48696,2-s2.0-85123451500
49186,49187,2-s2.0-85114186664
49415,49416,2-s2.0-85122471176
49527,49528,2-s2.0-85110435065
49574,49575,2-s2.0-85122994515
49709,49710,2-s2.0-85114213734
49768,49769,2-s2.0-85129070370
49828,49829,2-s2.0-85108317852
49929,49930,2-s2.0-85124510675
50008,50009,2-s2.0-85114150686
50072,50073,2-s2.0-85103112567
50135,50136,2-s2.0-85118093255
50166,50167,2-s2.0-85108538762
50413,50414,2-s2.0-85105935311
50501,50502,2-s2.0-85103624143
50509,50510,2-s2.0-85102059277
50572,50573,2-s2.0-85112431699
50578,50579,2-s2.0-85112408652
50652,50653,2-s2.0-85104593105
50950,50951,2-s2.0-85103327321
51129,51130,2-s2.0-85102382869
51169,51170,2-s2.0-85102385242
51317,51318,2-s2.0-85101818463
51342,51343,2-s2.0-85101686276
51521,51522,2-s2.0-85154539876
52240,52241,2-s2.0-85111831931
52328,52329,2-s2.0-85108554733
52372,52373,2-s2.0-85107400455
52587,52588,2-s2.0-85102172327
52600,52601,2-s2.0-85101600656
52613,52614,2-s2.0-85101243883
52635,52636,2-s2.0-85100525310
52711,52712,2-s2.0-85097084306
52720,52721,2-s2.0-85096507389
52775,52776,2-s2.0-85090093319
52938,52939,2-s2.0-85083218862
