corpus_position,source_row_abs,EID_o_identificador
48,48,2-s2.0-1642312610
83,83,2-s2.0-0013238159
110,110,2-s2.0-0342955492
130,130,2-s2.0-85008834289
140,140,2-s2.0-84952891351
164,164,2-s2.0-47249106643
175,175,2-s2.0-3042573883
178,178,2-s2.0-27544492987
238,238,2-s2.0-0034367117
329,329,2-s2.0-8744289910
337,337,2-s2.0-8744272666
459,459,2-s2.0-85072449893
582,582,2-s2.0-0035784025
631,631,2-s2.0-0035216353
786,786,2-s2.0-0036002222
788,788,2-s2.0-0036404936
791,791,2-s2.0-0036399334
932,932,2-s2.0-68949219720
1000,1000,2-s2.0-0036965725
1007,1007,2-s2.0-0036876640
1010,1010,2-s2.0-0036770326
1082,1082,2-s2.0-8744317090
1094,1094,2-s2.0-8744303072
1117,1117,2-s2.0-8744263867
1190,1190,2-s2.0-20844438498
1210,1210,2-s2.0-1642438901
1414,1414,2-s2.0-84986147801
1419,1419,2-s2.0-84951179733
1465,1465,2-s2.0-84867415356
1471,1471,2-s2.0-8344255289
1508,1508,2-s2.0-35048855746
1572,1572,2-s2.0-0141906755
1602,1602,2-s2.0-0038349427
1673,1673,2-s2.0-31544438272
1701,1701,2-s2.0-18844461923
1758,1758,2-s2.0-5444256464
1774,1774,2-s2.0-5444242708
1806,1806,2-s2.0-5044219552
1850,1850,2-s2.0-4344562754
1885,1885,2-s2.0-34247265791
1930,1930,2-s2.0-1642299664
1959,1959,2-s2.0-85138957649
1965,1965,2-s2.0-85088341427
1982,1982,2-s2.0-85022718758
2045,2045,2-s2.0-4344635328
2068,2068,2-s2.0-3342937545
2123,2123,2-s2.0-1342347403
2249,2249,2-s2.0-33845303947
2256,2256,2-s2.0-33749438892
2268,2268,2-s2.0-33645652187
2280,2280,2-s2.0-31444456441
2768,2768,2-s2.0-22544467797
2860,2860,2-s2.0-11044239371
3064,3064,2-s2.0-33748913193
3145,3145,2-s2.0-33745035451
3223,3223,2-s2.0-33645716358
3259,3259,2-s2.0-85067913930
3343,3343,2-s2.0-85011352958
3379,3379,2-s2.0-84926257173
3413,3413,2-s2.0-84896966303
3417,3417,2-s2.0-84896012031
3465,3465,2-s2.0-48749098592
3522,3522,2-s2.0-33751333623
3576,3576,2-s2.0-33646063540
3686,3686,2-s2.0-84867365030
3828,3828,2-s2.0-38749104249
3925,3925,2-s2.0-34548736577
3964,3964,2-s2.0-34548277941
3971,3971,2-s2.0-34547459531
4093,4093,2-s2.0-34247244121
4096,4096,2-s2.0-33947240838
4219,4219,2-s2.0-85029084522
4405,4405,2-s2.0-52949097281
4411,4411,2-s2.0-47549084895
4462,4462,2-s2.0-34547419512
4565,4565,2-s2.0-84892236801
4586,4586,2-s2.0-84880431356
4645,4645,2-s2.0-78650758977
4676,4676,2-s2.0-72449190283
4704,4704,2-s2.0-63149164910
4775,4775,2-s2.0-56049125779
4804,4804,2-s2.0-53849092040
4864,4864,2-s2.0-50949124484
4928,4928,2-s2.0-85071980883
4931,4931,2-s2.0-51349133045
4993,4993,2-s2.0-49649126938
4994,4994,2-s2.0-49649104546
5012,5012,2-s2.0-44749084468
5027,5027,2-s2.0-84917268849
5074,5074,2-s2.0-40649116140
5117,5117,2-s2.0-39749163438
5158,5158,2-s2.0-85116469995
5199,5199,2-s2.0-85029105025
5211,5211,2-s2.0-85029093009
5270,5270,2-s2.0-85029034369
5305,5305,2-s2.0-84967529526
5312,5312,2-s2.0-84938794879
5420,5420,2-s2.0-60549110263
5579,5579,2-s2.0-84892313047
5593,5593,2-s2.0-84889991255
5690,5690,2-s2.0-77951716021
5917,5917,2-s2.0-70449436149
5988,5988,2-s2.0-67651252918
6043,6043,2-s2.0-67649277193
6046,6046,2-s2.0-67649273853
6052,6052,2-s2.0-67649264880
6111,6111,2-s2.0-65949101464
6196,6196,2-s2.0-64349110761
6257,6257,2-s2.0-62449326933
6359,6359,2-s2.0-85029120132
6385,6385,2-s2.0-85029087151
6440,6440,2-s2.0-85024517007
6535,6535,2-s2.0-79959934492
6689,6689,2-s2.0-60849139390
6835,6835,2-s2.0-84867448574
6842,6842,2-s2.0-84863406966
7000,7000,2-s2.0-78650705236
7002,7002,2-s2.0-78650659459
7029,7029,2-s2.0-78149499749
7131,7131,2-s2.0-77957964587
7159,7159,2-s2.0-77957706654
7206,7206,2-s2.0-77956866662
7336,7336,2-s2.0-105013045387
7340,7340,2-s2.0-77954945665
7341,7341,2-s2.0-77954944226
7352,7352,2-s2.0-84867494533
7534,7534,2-s2.0-79960236601
7553,7553,2-s2.0-77950639703
7707,7707,2-s2.0-85054451214
7764,7764,2-s2.0-85029094820
7912,7912,2-s2.0-84907082841
7974,7974,2-s2.0-79960302619
7995,7995,2-s2.0-79952098960
8040,8040,2-s2.0-78649299075
8199,8199,2-s2.0-84055223591
8223,8223,2-s2.0-82555168927
8253,8253,2-s2.0-84895375401
8319,8319,2-s2.0-84865091512
8353,8353,2-s2.0-84860877134
8518,8518,2-s2.0-80755142890
8551,8551,2-s2.0-80053644027
8574,8574,2-s2.0-80054035709
8869,8869,2-s2.0-79961219566
8896,8896,2-s2.0-79956303293
8932,8932,2-s2.0-80755155980
8945,8945,2-s2.0-80051964055
8959,8959,2-s2.0-79957955143
8987,8987,2-s2.0-79955957463
9012,9012,2-s2.0-79958174037
9135,9135,2-s2.0-79952571741
9241,9241,2-s2.0-85060274513
9258,9258,2-s2.0-85029790352
9267,9267,2-s2.0-85029125106
9320,9320,2-s2.0-85029088504
9348,9348,2-s2.0-85029069275
9533,9533,2-s2.0-84875842252
9554,9554,2-s2.0-84862855197
9597,9597,2-s2.0-80055066426
9626,9626,2-s2.0-80051582436
9681,9681,2-s2.0-78651500938
9801,9801,2-s2.0-84880981762
9852,9852,2-s2.0-84874424903
9859,9859,2-s2.0-84874156757
9935,9935,2-s2.0-84869124899
10015,10015,2-s2.0-84867573248
10033,10033,2-s2.0-84867610378
10089,10089,2-s2.0-84865725494
10122,10122,2-s2.0-84866294625
10130,10130,2-s2.0-84865820039
10169,10169,2-s2.0-84865369591
10187,10187,2-s2.0-84920942293
10248,10248,2-s2.0-84863865958
10324,10324,2-s2.0-84863307682
10408,10408,2-s2.0-84860461604
10421,10421,2-s2.0-84861432001
10470,10470,2-s2.0-84859269580
10481,10481,2-s2.0-84858782570
10649,10649,2-s2.0-84858233329
10685,10685,2-s2.0-84856045497
10765,10765,2-s2.0-85034424977
10883,10883,2-s2.0-85029048019
11060,11060,2-s2.0-84892585351
11062,11062,2-s2.0-84891688008
11064,11064,2-s2.0-84888074268
11392,11392,2-s2.0-84896847634
11509,11509,2-s2.0-84888262239
11510,11510,2-s2.0-84888065405
11558,11558,2-s2.0-84931304298
11595,11595,2-s2.0-84885663385
11596,11596,2-s2.0-84885660246
11601,11601,2-s2.0-84885076312
11609,11609,2-s2.0-84886566755
11627,11627,2-s2.0-84886903924
11648,11648,2-s2.0-84885049490
11665,11665,2-s2.0-84890121249
11723,11723,2-s2.0-84884340140
11982,11982,2-s2.0-84881635993
12218,12218,2-s2.0-84877257081
12273,12273,2-s2.0-84892890738
12288,12288,2-s2.0-84876153317
12356,12356,2-s2.0-84875940453
12405,12405,2-s2.0-84873147281
12411,12411,2-s2.0-84898213518
12426,12426,2-s2.0-84873847461
12452,12452,2-s2.0-84872500158
12604,12604,2-s2.0-85064363277
12677,12677,2-s2.0-85006425951
12684,12684,2-s2.0-84991327273
12695,12695,2-s2.0-84964497908
12743,12743,2-s2.0-84936503495
12751,12751,2-s2.0-84929440125
12789,12789,2-s2.0-84922616104
12820,12820,2-s2.0-84908936180
12846,12846,2-s2.0-84904675226
12852,12852,2-s2.0-84904635093
12867,12867,2-s2.0-84903665124
12899,12899,2-s2.0-84901881337
13064,13064,2-s2.0-84884865528
13139,13139,2-s2.0-84880666946
13161,13161,2-s2.0-84879258856
13198,13198,2-s2.0-84876243073
13242,13242,2-s2.0-84873405146
13260,13260,2-s2.0-84871224737
13273,13273,2-s2.0-84869099801
13399,13399,2-s2.0-84914127133
13604,13604,2-s2.0-84908371467
13632,13632,2-s2.0-84926296988
13652,13652,2-s2.0-84907432310
13672,13672,2-s2.0-84904123343
13792,13792,2-s2.0-84991014001
13808,13808,2-s2.0-84949569517
13819,13819,2-s2.0-84898758834
13872,13872,2-s2.0-84940266011
13881,13881,2-s2.0-84897607057
13890,13890,2-s2.0-84894905215
13914,13914,2-s2.0-84949106555
13966,13966,2-s2.0-84892501801
14068,14068,2-s2.0-85069571408
14070,14070,2-s2.0-85069494396
14097,14097,2-s2.0-85029626391
14099,14099,2-s2.0-85029613023
14115,14115,2-s2.0-85021861332
14242,14242,2-s2.0-84945124874
14270,14270,2-s2.0-84939230410
14339,14339,2-s2.0-84923972536
14372,14372,2-s2.0-84922812114
14441,14441,2-s2.0-84912535387
14451,14451,2-s2.0-84911423540
14572,14572,2-s2.0-84905835361
14643,14643,2-s2.0-84905178042
14670,14670,2-s2.0-84905166364
14756,14756,2-s2.0-84904194078
14765,14765,2-s2.0-84904053652
14804,14804,2-s2.0-84903433226
14838,14838,2-s2.0-84902581567
15089,15089,2-s2.0-84896994270
15124,15124,2-s2.0-84895118714
15130,15130,2-s2.0-84894584054
15168,15168,2-s2.0-84892486017
15242,15242,2-s2.0-84964584551
15297,15297,2-s2.0-85051699174
15376,15376,2-s2.0-84946830325
15416,15416,2-s2.0-84964743258
15458,15458,2-s2.0-84946071815
15852,15852,2-s2.0-84936937177
15909,15909,2-s2.0-84939654850
16092,16092,2-s2.0-84938546653
16156,16156,2-s2.0-84926286800
16174,16174,2-s2.0-84958685888
16175,16175,2-s2.0-84904525670
16178,16178,2-s2.0-84929493756
16187,16187,2-s2.0-84926373780
16193,16193,2-s2.0-84928251752
16246,16246,2-s2.0-84925484075
16302,16302,2-s2.0-84938153446
16355,16355,2-s2.0-84922618553
16360,16360,2-s2.0-84921628567
16371,16371,2-s2.0-84888315743
