corpus_position,source_row_abs,EID_o_identificador
121,121,2-s2.0-85041902906
134,134,2-s2.0-84992904524
145,145,2-s2.0-84944074638
161,161,2-s2.0-52849125488
208,208,2-s2.0-0242619753
229,229,2-s2.0-0034612674
237,237,2-s2.0-0034387860
240,240,2-s2.0-0034364560
267,267,2-s2.0-0033976638
325,325,2-s2.0-8744300688
380,380,2-s2.0-0035790779
382,382,2-s2.0-0035786043
486,486,2-s2.0-84992803642
523,523,2-s2.0-52549098654
563,563,2-s2.0-17344373586
578,578,2-s2.0-0037970947
684,684,2-s2.0-8744278149
705,705,2-s2.0-8744240301
723,723,2-s2.0-84891688754
736,736,2-s2.0-3042691111
765,765,2-s2.0-0036954280
854,854,2-s2.0-0042889018
918,918,2-s2.0-84871577510
938,938,2-s2.0-53149093842
1114,1114,2-s2.0-8744272270
1185,1185,2-s2.0-27944497981
1186,1186,2-s2.0-22344451928
1270,1270,2-s2.0-84905766175
1380,1380,2-s2.0-85138937627
1469,1469,2-s2.0-84867357668
1716,1716,2-s2.0-12344334345
1741,1741,2-s2.0-5444274612
1757,1757,2-s2.0-5444257584
1759,1759,2-s2.0-5444255764
1819,1819,2-s2.0-4444228388
1843,1843,2-s2.0-84905932792
1958,1958,2-s2.0-85139345161
1995,1995,2-s2.0-84964059282
2160,2160,2-s2.0-84898289065
2167,2167,2-s2.0-84892231397
2225,2225,2-s2.0-42549140864
2226,2226,2-s2.0-38549173829
2308,2308,2-s2.0-27744485863
2356,2356,2-s2.0-27844489622
2487,2487,2-s2.0-27944456466
2678,2678,2-s2.0-33846698819
2698,2698,2-s2.0-33644842764
2890,2890,2-s2.0-84875589402
2956,2956,2-s2.0-34547235508
2989,2989,2-s2.0-33645154277
3007,3007,2-s2.0-33750919237
3021,3021,2-s2.0-33750085007
3139,3139,2-s2.0-33746266067
3331,3331,2-s2.0-85029021102
3389,3389,2-s2.0-84926246931
3476,3476,2-s2.0-41149121079
3553,3553,2-s2.0-33746354934
3634,3634,2-s2.0-84892818318
3705,3705,2-s2.0-78650953712
3737,3737,2-s2.0-63049107613
3772,3772,2-s2.0-50049114149
3829,3829,2-s2.0-38349124641
3858,3858,2-s2.0-36549065321
3864,3864,2-s2.0-35349030908
3899,3899,2-s2.0-34248663522
3950,3950,2-s2.0-34548336775
3991,3991,2-s2.0-34547237890
4042,4042,2-s2.0-34248182019
4082,4082,2-s2.0-34249856075
4116,4116,2-s2.0-34247231476
4125,4125,2-s2.0-33847667476
4156,4156,2-s2.0-33751431551
4206,4206,2-s2.0-85029100657
4209,4209,2-s2.0-85029097561
4223,4223,2-s2.0-85029079160
4273,4273,2-s2.0-85029027141
4331,4331,2-s2.0-84926995667
4339,4339,2-s2.0-84912015891
4387,4387,2-s2.0-77951846485
4437,4437,2-s2.0-35448976958
4482,4482,2-s2.0-34248673425
4505,4505,2-s2.0-33846690382
4521,4521,2-s2.0-57849163584
4632,4632,2-s2.0-79951960546
4649,4649,2-s2.0-78449236747
4663,4663,2-s2.0-77950500664
4668,4668,2-s2.0-77949350016
4682,4682,2-s2.0-70349134994
4703,4703,2-s2.0-63349083683
4720,4720,2-s2.0-60549103048
4741,4741,2-s2.0-58149159566
4850,4850,2-s2.0-52249111879
4858,4858,2-s2.0-51549087602
4882,4882,2-s2.0-52249121210
4889,4889,2-s2.0-50949094106
4980,4980,2-s2.0-43449103924
5086,5086,2-s2.0-43349093919
