corpus_position,source_row_abs,EID_o_identificador
232,232,2-s2.0-0034550207
249,249,2-s2.0-0034280406
400,400,2-s2.0-0035552759
450,450,2-s2.0-6344233840
459,459,2-s2.0-85072449893
551,551,2-s2.0-19644381920
617,617,2-s2.0-0035381111
696,696,2-s2.0-8744255414
731,731,2-s2.0-4944260278
771,771,2-s2.0-0036949797
782,782,2-s2.0-0036907670
914,914,2-s2.0-84896977339
1269,1269,2-s2.0-84905779797
1414,1414,2-s2.0-84986147801
1434,1434,2-s2.0-84946039493
1449,1449,2-s2.0-84941212025
1478,1478,2-s2.0-78649826694
1579,1579,2-s2.0-0141515786
1808,1808,2-s2.0-8844266857
1821,1821,2-s2.0-13444257528
1904,1904,2-s2.0-2942565733
1927,1927,2-s2.0-1842583734
2293,2293,2-s2.0-85082026917
2411,2411,2-s2.0-84906112791
2427,2427,2-s2.0-27944504369
2483,2483,2-s2.0-27944507969
2561,2561,2-s2.0-85070371171
2619,2619,2-s2.0-84928761675
2626,2626,2-s2.0-84926994347
2637,2637,2-s2.0-84902524351
2706,2706,2-s2.0-29044449627
2739,2739,2-s2.0-22544486861
2748,2748,2-s2.0-22544480036
2836,2836,2-s2.0-17044380237
2849,2849,2-s2.0-13844256569
2882,2882,2-s2.0-84883301131
2938,2938,2-s2.0-40749107740
3257,3257,2-s2.0-85067921433
3400,3400,2-s2.0-84923425386
3435,3435,2-s2.0-84867415583
3512,3512,2-s2.0-33845545319
3534,3534,2-s2.0-33750200008
3775,3775,2-s2.0-50049108701
3899,3899,2-s2.0-34248663522
4073,4073,2-s2.0-84991615250
4122,4122,2-s2.0-33947231199
4235,4235,2-s2.0-85029069222
4322,4322,2-s2.0-84938861461
4339,4339,2-s2.0-84912015891
4420,4420,2-s2.0-38449115909
4496,4496,2-s2.0-34047158833
4574,4574,2-s2.0-84889972294
4695,4695,2-s2.0-67349140179
4733,4733,2-s2.0-58449088807
4760,4760,2-s2.0-54249162058
4838,4838,2-s2.0-52549096439
4894,4894,2-s2.0-50249141728
4898,4898,2-s2.0-50249096800
4934,4934,2-s2.0-50849102046
5019,5019,2-s2.0-85024129269
5110,5110,2-s2.0-39349108357
5361,5361,2-s2.0-84857743028
5535,5535,2-s2.0-105012808139
5593,5593,2-s2.0-84889991255
5748,5748,2-s2.0-75749087216
5755,5755,2-s2.0-74349107272
5838,5838,2-s2.0-70350241283
5925,5925,2-s2.0-70349770938
5930,5930,2-s2.0-70349190759
5962,5962,2-s2.0-68149141724
6186,6186,2-s2.0-69349095403
6205,6205,2-s2.0-60249091010
6329,6329,2-s2.0-85141614759
