corpus_position,source_row_abs,EID_o_identificador
159,159,2-s2.0-53949096088
198,198,2-s2.0-19544376291
421,421,2-s2.0-0034932636
474,474,2-s2.0-85009648608
490,490,2-s2.0-84958765591
526,526,2-s2.0-44849143383
537,537,2-s2.0-33745203899
715,715,2-s2.0-8744229032
822,822,2-s2.0-0036274412
859,859,2-s2.0-85159674904
1103,1103,2-s2.0-8744294871
1135,1135,2-s2.0-8744238149
1197,1197,2-s2.0-1642560845
1261,1261,2-s2.0-0642279352
1349,1349,2-s2.0-0037361643
1509,1509,2-s2.0-35048847459
1717,1717,2-s2.0-12344273343
1852,1852,2-s2.0-4043174934
1899,1899,2-s2.0-85167520451
1956,1956,2-s2.0-85183258933
2121,2121,2-s2.0-13844250410
2185,2185,2-s2.0-84874372185
2254,2254,2-s2.0-33751289584
2278,2278,2-s2.0-32844459420
2475,2475,2-s2.0-20744435931
2675,2675,2-s2.0-34347223205
2766,2766,2-s2.0-22544468542
2863,2863,2-s2.0-105012797305
2916,2916,2-s2.0-58249114965
2929,2929,2-s2.0-48749086770
2977,2977,2-s2.0-33845967868
3014,3014,2-s2.0-33750180064
3036,3036,2-s2.0-85069729236
3041,3041,2-s2.0-33751027188
3200,3200,2-s2.0-33645092898
3220,3220,2-s2.0-33745904756
3308,3308,2-s2.0-85029065165
3549,3549,2-s2.0-33746638441
3605,3605,2-s2.0-30044446855
3766,3766,2-s2.0-50149115705
3964,3964,2-s2.0-34548277941
4097,4097,2-s2.0-33847325265
4118,4118,2-s2.0-34247138308
4314,4314,2-s2.0-84958061065
4381,4381,2-s2.0-78650446824
4424,4424,2-s2.0-37249083512
4459,4459,2-s2.0-34547525359
4547,4547,2-s2.0-85125802115
4988,4988,2-s2.0-79955373845
4997,4997,2-s2.0-46649107108
5180,5180,2-s2.0-85029121339
5194,5194,2-s2.0-85029107942
5211,5211,2-s2.0-85029093009
5418,5418,2-s2.0-61149375556
5574,5574,2-s2.0-84892807699
5654,5654,2-s2.0-77956208019
5698,5698,2-s2.0-77951478886
5706,5706,2-s2.0-77951452422
5774,5774,2-s2.0-70350583797
5938,5938,2-s2.0-69249189440
6188,6188,2-s2.0-69349089962
6191,6191,2-s2.0-68549101553
6193,6193,2-s2.0-68149179613
6273,6273,2-s2.0-68149133001
6279,6279,2-s2.0-77950361742
6448,6448,2-s2.0-84986315211
6697,6697,2-s2.0-60449104780
6797,6797,2-s2.0-84889700410
7426,7426,2-s2.0-77953195695
7454,7454,2-s2.0-77952430757
7540,7540,2-s2.0-79960206362
7565,7565,2-s2.0-77953929322
7566,7566,2-s2.0-84867529564
7602,7602,2-s2.0-77949481626
7614,7614,2-s2.0-77649204689
7668,7668,2-s2.0-73949124821
7699,7699,2-s2.0-85068189082
7793,7793,2-s2.0-85029075313
7849,7849,2-s2.0-85029030374
7944,7944,2-s2.0-84876009227
7979,7979,2-s2.0-79956230592
8000,8000,2-s2.0-78951492085
8081,8081,2-s2.0-77955847506
8146,8146,2-s2.0-77951782241
8185,8185,2-s2.0-71349087791
8306,8306,2-s2.0-84867454313
8791,8791,2-s2.0-79961015133
8801,8801,2-s2.0-79959995055
8888,8888,2-s2.0-79959336068
8893,8893,2-s2.0-79956335221
8986,8986,2-s2.0-79955989676
9148,9148,2-s2.0-79951818147
9153,9153,2-s2.0-79951769533
9207,9207,2-s2.0-85142094338
9233,9233,2-s2.0-85072669157
9439,9439,2-s2.0-84984875430
9527,9527,2-s2.0-84885582732
9568,9568,2-s2.0-84856704086
9746,9746,2-s2.0-84870657559
9922,9922,2-s2.0-84871035084
10225,10225,2-s2.0-84884505881
10231,10231,2-s2.0-84867411442
10240,10240,2-s2.0-84865368471
10365,10365,2-s2.0-84866446035
10560,10560,2-s2.0-84857681929
10832,10832,2-s2.0-85029088029
10890,10890,2-s2.0-85029042502
10943,10943,2-s2.0-84988368659
11302,11302,2-s2.0-82555194081
11310,11310,2-s2.0-80053352375
11312,11312,2-s2.0-80052827145
11368,11368,2-s2.0-84888990233
11568,11568,2-s2.0-84890372294
11576,11576,2-s2.0-84888063196
11581,11581,2-s2.0-84887357200
11655,11655,2-s2.0-85179237537
11734,11734,2-s2.0-84884335475
11735,11735,2-s2.0-84884334925
11900,11900,2-s2.0-84882688231
11923,11923,2-s2.0-84881009485
12051,12051,2-s2.0-84879497526
12173,12173,2-s2.0-84878254223
12202,12202,2-s2.0-84884398533
12321,12321,2-s2.0-84875156137
12394,12394,2-s2.0-84873664548
12462,12462,2-s2.0-84872979092
12480,12480,2-s2.0-85200880236
12597,12597,2-s2.0-85065941974
12789,12789,2-s2.0-84922616104
12966,12966,2-s2.0-84895223620
13177,13177,2-s2.0-84878446346
13375,13375,2-s2.0-84919914063
13430,13430,2-s2.0-84912011056
13481,13481,2-s2.0-84937545422
13509,13509,2-s2.0-84918511246
13597,13597,2-s2.0-84931337171
13621,13621,2-s2.0-84906495345
13940,13940,2-s2.0-84893646831
14178,14178,2-s2.0-84962911693
14194,14194,2-s2.0-84957103188
14296,14296,2-s2.0-84929774038
14458,14458,2-s2.0-84910090561
14493,14493,2-s2.0-84907743574
14517,14517,2-s2.0-84906973939
14524,14524,2-s2.0-84906748510
14782,14782,2-s2.0-84903740272
14872,14872,2-s2.0-84902121270
14907,14907,2-s2.0-84901626197
15157,15157,2-s2.0-84892952738
15197,15197,2-s2.0-84890703721
15254,15254,2-s2.0-84960455720
15292,15292,2-s2.0-84937520912
15304,15304,2-s2.0-85007388191
15344,15344,2-s2.0-84953380480
15781,15781,2-s2.0-84943339031
15784,15784,2-s2.0-84937938791
15876,15876,2-s2.0-84937938552
15877,15877,2-s2.0-84937908638
15935,15935,2-s2.0-84942776315
16161,16161,2-s2.0-84923641272
16195,16195,2-s2.0-84928248337
16208,16208,2-s2.0-84929121166
16216,16216,2-s2.0-84921926171
16226,16226,2-s2.0-84939875086
16280,16280,2-s2.0-84917690754
16409,16409,2-s2.0-85151207471
16510,16510,2-s2.0-85045106579
16650,16650,2-s2.0-84977109055
16672,16672,2-s2.0-84969220111
17067,17067,2-s2.0-84941992875
17089,17089,2-s2.0-84940520089
17136,17136,2-s2.0-84931749266
17172,17172,2-s2.0-84929936450
17447,17447,2-s2.0-85179704294
17533,17533,2-s2.0-85097210144
17552,17552,2-s2.0-85095571367
17771,17771,2-s2.0-85096400540
17874,17874,2-s2.0-85096411017
18037,18037,2-s2.0-85079455691
18385,18385,2-s2.0-85089563094
18438,18438,2-s2.0-85074499097
18482,18482,2-s2.0-85089077621
18533,18533,2-s2.0-85087865572
18665,18665,2-s2.0-85137114597
18891,18891,2-s2.0-85105509328
19004,19004,2-s2.0-85082823294
19042,19042,2-s2.0-85063217523
19502,19502,2-s2.0-85083540049
19507,19507,2-s2.0-85082996260
19564,19564,2-s2.0-85082620616
19598,19598,2-s2.0-85081411846
20025,20025,2-s2.0-85148838452
20147,20147,2-s2.0-85117147529
20238,20238,2-s2.0-85104234943
20320,20320,2-s2.0-85101091704
20586,20586,2-s2.0-85096032531
20656,20656,2-s2.0-85092404943
20694,20694,2-s2.0-85091615051
20708,20708,2-s2.0-85091436064
20826,20826,2-s2.0-85089163999
20846,20846,2-s2.0-85088855783
20872,20872,2-s2.0-85088468136
20902,20902,2-s2.0-85087939279
20991,20991,2-s2.0-85086091861
21076,21076,2-s2.0-85083722952
21262,21262,2-s2.0-85078087620
21924,21924,2-s2.0-85076110544
22000,22000,2-s2.0-85073530597
22192,22192,2-s2.0-85150728798
22199,22199,2-s2.0-85108977382
22332,22332,2-s2.0-85053065611
22382,22382,2-s2.0-85072832492
22564,22564,2-s2.0-85073326142
22567,22567,2-s2.0-85073270544
22636,22636,2-s2.0-85073909090
22980,22981,2-s2.0-85048371426
23287,23288,2-s2.0-85096967161
23423,23424,2-s2.0-85064395065
23542,23543,2-s2.0-85118658907
23818,23819,2-s2.0-85034667901
23845,23846,2-s2.0-85180759071
23869,23870,2-s2.0-85168563344
24088,24089,2-s2.0-85098005021
24101,24102,2-s2.0-85094642025
24110,24111,2-s2.0-85092542483
24162,24163,2-s2.0-85085422353
24291,24292,2-s2.0-85079141612
24307,24308,2-s2.0-85078960982
24486,24487,2-s2.0-85074700429
24648,24649,2-s2.0-85071744201
24731,24732,2-s2.0-85070651049
24802,24803,2-s2.0-85069230775
25012,25013,2-s2.0-85065015879
25218,25219,2-s2.0-85095133770
25220,25221,2-s2.0-85061476761
25388,25389,2-s2.0-85047398309
25443,25444,2-s2.0-85089830535
25750,25751,2-s2.0-85055675350
25794,25795,2-s2.0-85054165873
25946,25947,2-s2.0-85051106949
26102,26103,2-s2.0-85062082384
26132,26133,2-s2.0-85053552928
26165,26166,2-s2.0-85046116033
26173,26174,2-s2.0-85044453707
26436,26437,2-s2.0-85031495957
26530,26531,2-s2.0-85047846677
26585,26586,2-s2.0-85047771046
26609,26610,2-s2.0-85048115012
26622,26623,2-s2.0-85060496066
26658,26659,2-s2.0-85051425528
26695,26696,2-s2.0-85060803372
26825,26826,2-s2.0-85045889932
27063,27064,2-s2.0-85040962704
27077,27078,2-s2.0-85040993223
27158,27159,2-s2.0-85146612380
27360,27361,2-s2.0-85065297809
27448,27449,2-s2.0-85062175049
27455,27456,2-s2.0-85061829972
27602,27603,2-s2.0-85057764215
27699,27700,2-s2.0-85055332835
27921,27922,2-s2.0-85046802799
28150,28151,2-s2.0-105010530176
28377,28378,2-s2.0-85040767987
28403,28404,2-s2.0-85043475523
28412,28413,2-s2.0-85036513864
28488,28489,2-s2.0-85041439048
28637,28638,2-s2.0-85032384696
28818,28819,2-s2.0-85034442367
28888,28889,2-s2.0-85017229014
29225,29226,2-s2.0-85030537634
29325,29326,2-s2.0-85021817390
29449,29450,2-s2.0-85020045629
29467,29468,2-s2.0-85020878663
29479,29480,2-s2.0-85019657854
29585,29586,2-s2.0-84958553523
29660,29661,2-s2.0-85017259394
29725,29726,2-s2.0-85065343450
29785,29786,2-s2.0-85003847786
29811,29812,2-s2.0-85016754015
29857,29858,2-s2.0-85011831848
29863,29864,2-s2.0-85010425262
29888,29889,2-s2.0-85011269822
29905,29906,2-s2.0-85009450735
29921,29922,2-s2.0-85019055809
29985,29986,2-s2.0-85139217653
30016,30017,2-s2.0-85101971956
30115,30116,2-s2.0-85054228235
30194,30195,2-s2.0-85046076532
30758,30759,2-s2.0-85015208032
31287,31288,2-s2.0-84988354436
31305,31306,2-s2.0-84975217455
31316,31317,2-s2.0-84958748188
31645,31646,2-s2.0-84957714688
