corpus_position,source_row_abs,EID_o_identificador
1,1,2-s2.0-0033660524
26,26,2-s2.0-8644220516
29,29,2-s2.0-85065364308
34,34,2-s2.0-84867432310
44,44,2-s2.0-28944455653
59,59,2-s2.0-0034472448
69,69,2-s2.0-0033782866
89,89,2-s2.0-0034284969
111,111,2-s2.0-0041034794
124,124,2-s2.0-85023485385
132,132,2-s2.0-85006544753
156,156,2-s2.0-61449135004
159,159,2-s2.0-53949096088
172,172,2-s2.0-33749398801
187,187,2-s2.0-23044519525
190,190,2-s2.0-22844457285
194,194,2-s2.0-22844453574
208,208,2-s2.0-0242619753
209,209,2-s2.0-0042913225
215,215,2-s2.0-0042187280
216,216,2-s2.0-0042185340
225,225,2-s2.0-0035526678
227,227,2-s2.0-0034720977
233,233,2-s2.0-0034546995
238,238,2-s2.0-0034367117
246,246,2-s2.0-0034339338
256,256,2-s2.0-0034189289
282,282,2-s2.0-0033740743
286,286,2-s2.0-0033688114
294,294,2-s2.0-0012085219
297,297,2-s2.0-0011320397
302,302,2-s2.0-0003376326
307,307,2-s2.0-0035856945
360,360,2-s2.0-84891666555
376,376,2-s2.0-30544440275
377,377,2-s2.0-0347693168
385,385,2-s2.0-0035745072
399,399,2-s2.0-0035554371
432,432,2-s2.0-85023658640
439,439,2-s2.0-0041870769
443,443,2-s2.0-0035272283
458,458,2-s2.0-85074884261
460,460,2-s2.0-85070136361
475,475,2-s2.0-85009635406
486,486,2-s2.0-84992803642
496,496,2-s2.0-84901933346
497,497,2-s2.0-84901932833
500,500,2-s2.0-84901264039
510,510,2-s2.0-79952130000
558,558,2-s2.0-18044398836
579,579,2-s2.0-0035908403
586,586,2-s2.0-0035667891
605,605,2-s2.0-0035531595
607,607,2-s2.0-0035495263
628,628,2-s2.0-0035287304
645,645,2-s2.0-0035079719
650,650,2-s2.0-0034985340
666,666,2-s2.0-0012584908
681,681,2-s2.0-8744289480
682,682,2-s2.0-8744285546
683,683,2-s2.0-8744285477
689,689,2-s2.0-8744273829
710,710,2-s2.0-8744235170
729,729,2-s2.0-78650238545
732,732,2-s2.0-43149120757
735,735,2-s2.0-3042724859
741,741,2-s2.0-23844438645
747,747,2-s2.0-17144450870
759,759,2-s2.0-0036989180
766,766,2-s2.0-0036954181
770,770,2-s2.0-0036953973
785,785,2-s2.0-0036027258
805,805,2-s2.0-85040561774
817,817,2-s2.0-84945938712
829,829,2-s2.0-0036622041
832,832,2-s2.0-0037165988
833,833,2-s2.0-0036246049
850,850,2-s2.0-0036499137
858,858,2-s2.0-0037059449
875,875,2-s2.0-85057083942
898,898,2-s2.0-84964432737
903,903,2-s2.0-84949310242
916,916,2-s2.0-84893033115
952,952,2-s2.0-34249886545
961,961,2-s2.0-33645147375
973,973,2-s2.0-23844492550
977,977,2-s2.0-23044528724
980,980,2-s2.0-1842678377
986,986,2-s2.0-0345295031
990,990,2-s2.0-0038075789
1006,1006,2-s2.0-0036884458
1022,1022,2-s2.0-0036613838
1043,1043,2-s2.0-0036274626
1044,1044,2-s2.0-0036257449
