corpus_position,source_row_abs,EID_o_identificador
18,18,2-s2.0-8644250535
61,61,2-s2.0-0034471117
559,559,2-s2.0-17644447688
899,899,2-s2.0-84964425589
919,919,2-s2.0-84867354030
968,968,2-s2.0-26044480957
1163,1163,2-s2.0-4143148888
1225,1225,2-s2.0-1542432697
1318,1318,2-s2.0-84903659328
1326,1326,2-s2.0-0038290399
1350,1350,2-s2.0-0037236240
1449,1449,2-s2.0-84941212025
1517,1517,2-s2.0-3142673538
1542,1542,2-s2.0-1542398145
1605,1605,2-s2.0-0037986463
1754,1754,2-s2.0-5444258769
1818,1818,2-s2.0-4444363091
1896,1896,2-s2.0-1842659241
2278,2278,2-s2.0-32844459420
2443,2443,2-s2.0-18844422178
2538,2538,2-s2.0-12944288012
2604,2604,2-s2.0-84958171364
2634,2634,2-s2.0-84904268687
2766,2766,2-s2.0-22544468542
2795,2795,2-s2.0-22544445570
2974,2974,2-s2.0-33846538464
3349,3349,2-s2.0-84993683671
3393,3393,2-s2.0-84923492340
3575,3575,2-s2.0-33646074799
3698,3698,2-s2.0-80051511854
3730,3730,2-s2.0-68349142939
3898,3898,2-s2.0-34547092539
4249,4249,2-s2.0-85029055067
4393,4393,2-s2.0-70450144088
4539,4539,2-s2.0-57349084135
4589,4589,2-s2.0-84878139281
4684,4684,2-s2.0-70349084041
4816,4816,2-s2.0-54249101843
4974,4974,2-s2.0-44949146357
5108,5108,2-s2.0-39749190008
5124,5124,2-s2.0-38349190653
5196,5196,2-s2.0-85029107465
5340,5340,2-s2.0-84896285809
5517,5517,2-s2.0-39749085780
5586,5586,2-s2.0-84891667257
5723,5723,2-s2.0-77950599416
5736,5736,2-s2.0-77349096421
5763,5763,2-s2.0-72249085858
5868,5868,2-s2.0-70349599194
5955,5955,2-s2.0-84993035249
6028,6028,2-s2.0-67349189874
6031,6031,2-s2.0-67049088234
6351,6351,2-s2.0-85048964735
6395,6395,2-s2.0-85029077645
6411,6411,2-s2.0-85029057420
6499,6499,2-s2.0-84892345748
6500,6500,2-s2.0-84891431940
6640,6640,2-s2.0-68849097654
6686,6686,2-s2.0-61449095535
6689,6689,2-s2.0-60849139390
6795,6795,2-s2.0-84889967584
6925,6925,2-s2.0-79956145107
6953,6953,2-s2.0-79951938153
7071,7071,2-s2.0-77958612284
7269,7269,2-s2.0-77956779662
7301,7301,2-s2.0-77957226294
7512,7512,2-s2.0-84867556812
7530,7530,2-s2.0-79960247480
7579,7579,2-s2.0-79952872338
7910,7910,2-s2.0-84923912302
8082,8082,2-s2.0-77955723148
8119,8119,2-s2.0-77953059122
8192,8192,2-s2.0-84255194736
8228,8228,2-s2.0-82455186158
8575,8575,2-s2.0-80054035294
8663,8663,2-s2.0-80052389016
9154,9154,2-s2.0-79951756387
9384,9384,2-s2.0-85029036970
9518,9518,2-s2.0-84892841486
9711,9711,2-s2.0-105013012038
9975,9975,2-s2.0-105003514960
9984,9984,2-s2.0-84949176520
10038,10038,2-s2.0-84867298295
10087,10087,2-s2.0-84866061764
10174,10174,2-s2.0-84865312931
10285,10285,2-s2.0-84862878928
10383,10383,2-s2.0-84862565419
10501,10501,2-s2.0-84859207553
10567,10567,2-s2.0-84861507985
10689,10689,2-s2.0-84856065599
10708,10708,2-s2.0-85122400838
10926,10926,2-s2.0-85023862485
10946,10946,2-s2.0-84969239150
11201,11201,2-s2.0-84863854440
11263,11263,2-s2.0-84859044779
11445,11445,2-s2.0-84892917745
11588,11588,2-s2.0-84886786971
11718,11718,2-s2.0-84884344748
11763,11763,2-s2.0-84884317240
11779,11779,2-s2.0-84884311154
11799,11799,2-s2.0-84884298119
11861,11861,2-s2.0-84882718509
12020,12020,2-s2.0-84880094521
12112,12112,2-s2.0-84886822670
12156,12156,2-s2.0-84946763765
12210,12210,2-s2.0-84878203637
12235,12235,2-s2.0-84875356568
12241,12241,2-s2.0-84876589417
12424,12424,2-s2.0-84879028972
12435,12435,2-s2.0-84876709740
12482,12482,2-s2.0-85200853438
12704,12704,2-s2.0-84957033388
12781,12781,2-s2.0-84923448851
12826,12826,2-s2.0-84907731585
12872,12872,2-s2.0-84903474761
12948,12948,2-s2.0-84896902639
13140,13140,2-s2.0-84880612284
13249,13249,2-s2.0-84872654535
13384,13384,2-s2.0-84910670017
13584,13584,2-s2.0-84890466813
13891,13891,2-s2.0-84894674154
13906,13906,2-s2.0-84888026759
13921,13921,2-s2.0-84893477027
13923,13923,2-s2.0-85068751795
13965,13965,2-s2.0-84899871764
14034,14034,2-s2.0-85105680582
14144,14144,2-s2.0-85002881624
14145,14145,2-s2.0-85002357746
14220,14220,2-s2.0-84954349161
14402,14402,2-s2.0-84920487589
14422,14422,2-s2.0-84917743293
14747,14747,2-s2.0-84904355290
14787,14787,2-s2.0-84903625926
14845,14845,2-s2.0-84902478526
14970,14970,2-s2.0-84899923924
15024,15024,2-s2.0-84898547645
15219,15219,2-s2.0-84885368677
15223,15223,2-s2.0-3142731647
15256,15256,2-s2.0-84960437845
15594,15594,2-s2.0-84942193310
15705,15705,2-s2.0-84941921214
15807,15807,2-s2.0-84952332510
15964,15964,2-s2.0-84939995134
16274,16274,2-s2.0-84922360640
16409,16409,2-s2.0-85151207471
16536,16536,2-s2.0-85032328360
16910,16910,2-s2.0-84945935018
16956,16956,2-s2.0-84944383470
17189,17189,2-s2.0-84928744630
17241,17241,2-s2.0-84925016328
17684,17684,2-s2.0-85099974113
17831,17831,2-s2.0-85078054551
17856,17856,2-s2.0-85096422815
17883,17883,2-s2.0-85096408327
18354,18354,2-s2.0-85092614602
18408,18408,2-s2.0-85086438887
18430,18430,2-s2.0-85079183505
18516,18516,2-s2.0-85087899823
18573,18573,2-s2.0-85094681749
18801,18801,2-s2.0-85095731327
18806,18806,2-s2.0-85095728437
18878,18878,2-s2.0-85087481261
18908,18908,2-s2.0-85091960688
18942,18942,2-s2.0-85087112037
19074,19074,2-s2.0-85086443050
19091,19091,2-s2.0-85086433209
19152,19152,2-s2.0-85085471947
19549,19549,2-s2.0-85082987363
19600,19600,2-s2.0-85081410165
19618,19618,2-s2.0-85081330751
19767,19767,2-s2.0-85081630409
19912,19912,2-s2.0-85078314669
20016,20016,2-s2.0-85149539134
20017,20017,2-s2.0-85149530409
20036,20036,2-s2.0-85145890195
20200,20200,2-s2.0-85107194907
20247,20247,2-s2.0-85103660721
20344,20344,2-s2.0-85100854256
20366,20366,2-s2.0-85099579935
20375,20375,2-s2.0-85099423485
20476,20476,2-s2.0-85097445809
20646,20646,2-s2.0-85092526628
20893,20893,2-s2.0-85088387331
20906,20906,2-s2.0-85087843601
21013,21013,2-s2.0-85085367268
21109,21109,2-s2.0-85083017585
21126,21126,2-s2.0-85082745592
21177,21177,2-s2.0-85081616756
21230,21230,2-s2.0-85079227542
21270,21270,2-s2.0-85077928971
