corpus_position,source_row_abs,EID_o_identificador
33,33,2-s2.0-84893412380
110,110,2-s2.0-0342955492
242,242,2-s2.0-0034345634
330,330,2-s2.0-8744285308
480,480,2-s2.0-85007784572
601,601,2-s2.0-0035537037
604,604,2-s2.0-0035531849
736,736,2-s2.0-3042691111
779,779,2-s2.0-0036948965
1009,1009,2-s2.0-0036830817
1051,1051,2-s2.0-0036132984
1103,1103,2-s2.0-8744294871
1147,1147,2-s2.0-8744223293
1162,1162,2-s2.0-47349099545
1206,1206,2-s2.0-1642479174
1328,1328,2-s2.0-85083927554
1342,1342,2-s2.0-0141534887
1351,1351,2-s2.0-0037217198
1497,1497,2-s2.0-40949130335
1530,1530,2-s2.0-2142640313
1568,1568,2-s2.0-0142188164
1592,1592,2-s2.0-0038743053
1595,1595,2-s2.0-0038688014
1613,1613,2-s2.0-0037650136
1632,1632,2-s2.0-10444249624
1669,1669,2-s2.0-33846985525
1681,1681,2-s2.0-21644483609
1758,1758,2-s2.0-5444256464
1768,1768,2-s2.0-5444251133
1831,1831,2-s2.0-4444358489
1836,1836,2-s2.0-33644524703
1868,1868,2-s2.0-3242708460
1932,1932,2-s2.0-1542274560
2040,2040,2-s2.0-4844223598
2124,2124,2-s2.0-1342310258
2296,2296,2-s2.0-85054319709
2566,2566,2-s2.0-85050734099
2649,2649,2-s2.0-84896929539
2901,2901,2-s2.0-78649566758
2961,2961,2-s2.0-34247339407
3053,3053,2-s2.0-33749408725
3200,3200,2-s2.0-33645092898
3383,3383,2-s2.0-84926255453
3479,3479,2-s2.0-39049178189
3500,3500,2-s2.0-33846495750
3624,3624,2-s2.0-36849035445
3627,3627,2-s2.0-85068024649
3680,3680,2-s2.0-84867445966
3714,3714,2-s2.0-77950683850
3742,3742,2-s2.0-60449120858
3860,3860,2-s2.0-36248962049
3869,3869,2-s2.0-35348950678
3900,3900,2-s2.0-35348980175
3911,3911,2-s2.0-35348914650
3977,3977,2-s2.0-49449100924
3986,3986,2-s2.0-34548239208
4059,4059,2-s2.0-34249874895
4302,4302,2-s2.0-84967642834
4351,4351,2-s2.0-84896921122
4525,4525,2-s2.0-57749097040
4680,4680,2-s2.0-70349811536
4715,4715,2-s2.0-62249172198
4722,4722,2-s2.0-60549097511
4788,4788,2-s2.0-54949141854
4830,4830,2-s2.0-55049100256
4867,4867,2-s2.0-85128974503
4904,4904,2-s2.0-48749130825
4987,4987,2-s2.0-84922780523
5018,5018,2-s2.0-43849094671
5185,5185,2-s2.0-85029115136
5273,5273,2-s2.0-85029030446
5354,5354,2-s2.0-84865751650
5469,5469,2-s2.0-48749126016
5527,5527,2-s2.0-37449015804
5608,5608,2-s2.0-84870346733
5789,5789,2-s2.0-84992972025
5818,5818,2-s2.0-74949123251
5925,5925,2-s2.0-70349770938
6180,6180,2-s2.0-77749330803
6225,6225,2-s2.0-84917089561
6273,6273,2-s2.0-68149133001
6361,6361,2-s2.0-85029118002
6366,6366,2-s2.0-85029114086
6551,6551,2-s2.0-77958549615
6667,6667,2-s2.0-66849093648
6923,6923,2-s2.0-79957530412
7170,7170,2-s2.0-77957696398
7196,7196,2-s2.0-78649490419
7264,7264,2-s2.0-77958059102
7427,7427,2-s2.0-77953184906
7500,7500,2-s2.0-77951657635
7537,7537,2-s2.0-79960215151
7545,7545,2-s2.0-77954489006
7622,7622,2-s2.0-77953934652
7650,7650,2-s2.0-76449090172
7766,7766,2-s2.0-85029092809
7775,7775,2-s2.0-85029084816
7882,7882,2-s2.0-84946910200
8111,8111,2-s2.0-77953188561
8170,8170,2-s2.0-76449110409
8231,8231,2-s2.0-82355187922
8270,8270,2-s2.0-84892314410
8303,8303,2-s2.0-84867469089
8307,8307,2-s2.0-84867438908
8317,8317,2-s2.0-84865442999
8393,8393,2-s2.0-84858771529
8469,8469,2-s2.0-84855810975
8638,8638,2-s2.0-80053099083
8655,8655,2-s2.0-80052728668
8669,8669,2-s2.0-80052377763
8781,8781,2-s2.0-82355165180
8824,8824,2-s2.0-79960296482
8841,8841,2-s2.0-79960106029
9002,9002,2-s2.0-80053462337
9107,9107,2-s2.0-79952778992
9241,9241,2-s2.0-85060274513
9455,9455,2-s2.0-84946746565
9584,9584,2-s2.0-84855778001
9689,9689,2-s2.0-78650873362
9717,9717,2-s2.0-105002517187
9766,9766,2-s2.0-84898123677
9800,9800,2-s2.0-84883105742
9818,9818,2-s2.0-84877640146
9871,9871,2-s2.0-84873242772
10009,10009,2-s2.0-84867930160
10542,10542,2-s2.0-84858965593
10590,10590,2-s2.0-84858306271
10651,10651,2-s2.0-84857777685
10879,10879,2-s2.0-85029051720
10928,10928,2-s2.0-85017648392
10943,10943,2-s2.0-84988368659
11148,11148,2-s2.0-84867680301
11465,11465,2-s2.0-84892542816
11581,11581,2-s2.0-84887357200
12046,12046,2-s2.0-84879653162
12246,12246,2-s2.0-84876561016
12260,12260,2-s2.0-84876067725
12552,12552,2-s2.0-85071793938
12584,12584,2-s2.0-85067958814
12720,12720,2-s2.0-84948153290
12774,12774,2-s2.0-84923600989
12922,12922,2-s2.0-84898662042
13233,13233,2-s2.0-84873872253
13346,13346,2-s2.0-84922783847
13382,13382,2-s2.0-84913549237
13442,13442,2-s2.0-84929461679
13463,13463,2-s2.0-84910039929
13476,13476,2-s2.0-84959897597
13500,13500,2-s2.0-84926113109
13526,13526,2-s2.0-84955667828
13718,13718,2-s2.0-84946008333
13809,13809,2-s2.0-84949568236
13814,13814,2-s2.0-84908456342
13936,13936,2-s2.0-84894321656
13993,13993,2-s2.0-85171689928
