corpus_position,source_row_abs,EID_o_identificador
2,2,2-s2.0-0033653172
12,12,2-s2.0-8644274072
13,13,2-s2.0-8644271674
20,20,2-s2.0-8644246700
25,25,2-s2.0-8644223322
28,28,2-s2.0-85181224824
40,40,2-s2.0-3943084162
47,47,2-s2.0-17044444083
56,56,2-s2.0-0034474311
58,58,2-s2.0-0034473636
68,68,2-s2.0-0034634359
75,75,2-s2.0-0034644641
87,87,2-s2.0-20444489467
118,118,2-s2.0-85089443123
121,121,2-s2.0-85041902906
122,122,2-s2.0-85024001305
140,140,2-s2.0-84952891351
152,152,2-s2.0-84867470314
158,158,2-s2.0-53949124323
180,180,2-s2.0-24944486066
197,197,2-s2.0-19544377644
198,198,2-s2.0-19544376291
207,207,2-s2.0-0242686205
210,210,2-s2.0-0042686523
220,220,2-s2.0-0039923264
254,254,2-s2.0-0034199435
269,269,2-s2.0-0033922031
278,278,2-s2.0-0033803914
285,285,2-s2.0-0033723637
290,290,2-s2.0-0033652932
334,334,2-s2.0-8744275101
341,341,2-s2.0-8744259517
352,352,2-s2.0-8744232373
358,358,2-s2.0-85026672860
360,360,2-s2.0-84891666555
363,363,2-s2.0-78751527266
388,388,2-s2.0-0035693274
389,389,2-s2.0-0035688346
407,407,2-s2.0-0034800538
418,418,2-s2.0-0035725479
419,419,2-s2.0-0035422936
422,422,2-s2.0-0034970479
431,431,2-s2.0-85056873958
444,444,2-s2.0-0035271059
455,455,2-s2.0-8744311501
461,461,2-s2.0-85066191930
466,466,2-s2.0-85024073013
479,479,2-s2.0-85008776536
509,509,2-s2.0-84858572328
510,510,2-s2.0-79952130000
511,511,2-s2.0-77956334086
537,537,2-s2.0-33745203899
541,541,2-s2.0-27944457920
543,543,2-s2.0-27544496425
544,544,2-s2.0-26444550190
551,551,2-s2.0-19644381920
577,577,2-s2.0-0038775899
589,589,2-s2.0-0035632816
598,598,2-s2.0-0035564541
607,607,2-s2.0-0035495263
608,608,2-s2.0-0035491608
615,615,2-s2.0-0035419834
616,616,2-s2.0-0035394582
640,640,2-s2.0-0035197640
645,645,2-s2.0-0035079719
646,646,2-s2.0-0035076293
660,660,2-s2.0-0034782230
681,681,2-s2.0-8744289480
684,684,2-s2.0-8744278149
690,690,2-s2.0-8744272197
697,697,2-s2.0-8744254764
702,702,2-s2.0-8744246347
705,705,2-s2.0-8744240301
716,716,2-s2.0-8744225628
726,726,2-s2.0-84867302294
731,731,2-s2.0-4944260278
733,733,2-s2.0-33947533512
736,736,2-s2.0-3042691111
757,757,2-s2.0-0036995665
758,758,2-s2.0-0036992281
762,762,2-s2.0-0036954755
771,771,2-s2.0-0036949797
786,786,2-s2.0-0036002222
787,787,2-s2.0-0036421741
797,797,2-s2.0-0036396336
827,827,2-s2.0-84857809935
828,828,2-s2.0-2142808706
829,829,2-s2.0-0036622041
835,835,2-s2.0-3843123555
839,839,2-s2.0-0036207274
852,852,2-s2.0-0037039848
863,863,2-s2.0-85066206402
