corpus_position,source_row_abs,EID_o_identificador
80,80,2-s2.0-34547439522
276,276,2-s2.0-0033854629
282,282,2-s2.0-0033740743
343,343,2-s2.0-8744256844
416,416,2-s2.0-0034922790
583,583,2-s2.0-0035751048
642,642,2-s2.0-0035193785
657,657,2-s2.0-0034822964
858,858,2-s2.0-0037059449
887,887,2-s2.0-84992889684
1000,1000,2-s2.0-0036965725
1238,1238,2-s2.0-0242592290
1307,1307,2-s2.0-84906041934
1721,1721,2-s2.0-11144279967
1844,1844,2-s2.0-84917163236
1885,1885,2-s2.0-34247265791
2306,2306,2-s2.0-27844608983
2400,2400,2-s2.0-30444443427
2542,2542,2-s2.0-85141615492
2604,2604,2-s2.0-84958171364
2640,2640,2-s2.0-84901338690
2711,2711,2-s2.0-27844467665
2769,2769,2-s2.0-22544467789
2890,2890,2-s2.0-84875589402
2967,2967,2-s2.0-33847221159
2991,2991,2-s2.0-33847765023
3012,3012,2-s2.0-33750446345
3050,3050,2-s2.0-33749645793
3301,3301,2-s2.0-85029073590
3398,3398,2-s2.0-84923452807
3406,3406,2-s2.0-84920630526
3494,3494,2-s2.0-33847644379
3594,3594,2-s2.0-33144489019
3608,3608,2-s2.0-29744469415
3755,3755,2-s2.0-53749096217
3758,3758,2-s2.0-51549089027
3844,3844,2-s2.0-37349131049
4039,4039,2-s2.0-34249026700
4177,4177,2-s2.0-85067972068
4460,4460,2-s2.0-34547476031
4550,4550,2-s2.0-84902389322
4757,4757,2-s2.0-55249085430
4838,4838,2-s2.0-52549096439
4839,4839,2-s2.0-52149113546
4879,4879,2-s2.0-57549086697
5060,5060,2-s2.0-42149120669
5482,5482,2-s2.0-46749108913
5486,5486,2-s2.0-45849135635
5506,5506,2-s2.0-41749101532
5580,5580,2-s2.0-84892277495
5676,5676,2-s2.0-77953492359
5957,5957,2-s2.0-68649111457
5976,5976,2-s2.0-70349513619
6274,6274,2-s2.0-84924053573
6364,6364,2-s2.0-85029116260
6515,6515,2-s2.0-84866369923
6615,6615,2-s2.0-70349646995
6631,6631,2-s2.0-69349100398
6682,6682,2-s2.0-61449236266
6727,6727,2-s2.0-105012805146
6744,6744,2-s2.0-78649854243
6773,6773,2-s2.0-84892764298
6774,6774,2-s2.0-84892361017
6801,6801,2-s2.0-84884465450
6830,6830,2-s2.0-84870651481
7021,7021,2-s2.0-78649429045
7133,7133,2-s2.0-77957954195
7149,7149,2-s2.0-77957716048
7398,7398,2-s2.0-77954350630
7403,7403,2-s2.0-77953567902
7636,7636,2-s2.0-77951430569
7788,7788,2-s2.0-85029078843
7798,7798,2-s2.0-85029071347
7903,7903,2-s2.0-84930586903
7987,7987,2-s2.0-79952957858
7988,7988,2-s2.0-79952948872
8030,8030,2-s2.0-78650150528
8088,8088,2-s2.0-77955189339
8148,8148,2-s2.0-77951521899
8179,8179,2-s2.0-72449178318
8515,8515,2-s2.0-81255203763
8571,8571,2-s2.0-80054113549
8726,8726,2-s2.0-80052134623
8729,8729,2-s2.0-80052122037
8730,8730,2-s2.0-80052110514
8742,8742,2-s2.0-79961030159
8851,8851,2-s2.0-85044995512
8881,8881,2-s2.0-79959573848
8935,8935,2-s2.0-80052243661
8939,8939,2-s2.0-80052006834
9038,9038,2-s2.0-79955074521
9105,9105,2-s2.0-79952850451
9489,9489,2-s2.0-84922661168
9496,9496,2-s2.0-84908224701
9614,9614,2-s2.0-80052608485
9883,9883,2-s2.0-84873116201
9895,9895,2-s2.0-84872464924
9990,9990,2-s2.0-84874623425
10144,10144,2-s2.0-84865255416
10289,10289,2-s2.0-84936120491
10322,10322,2-s2.0-84863320308
10513,10513,2-s2.0-84862500186
10553,10553,2-s2.0-84863348103
10879,10879,2-s2.0-85029051720
10891,10891,2-s2.0-85029041864
10901,10901,2-s2.0-85029033987
10986,10986,2-s2.0-84939501442
11054,11054,2-s2.0-84896343254
11375,11375,2-s2.0-85164573828
11412,11412,2-s2.0-84893961908
11425,11425,2-s2.0-84893299565
11461,11461,2-s2.0-84892646311
11584,11584,2-s2.0-84887330573
11640,11640,2-s2.0-84885232518
11674,11674,2-s2.0-84885098705
11727,11727,2-s2.0-84884338454
11755,11755,2-s2.0-84884322493
11900,11900,2-s2.0-84882688231
11955,11955,2-s2.0-84893710820
12030,12030,2-s2.0-84879956205
12263,12263,2-s2.0-85212164203
12282,12282,2-s2.0-84877941636
12317,12317,2-s2.0-85068881470
12776,12776,2-s2.0-84923512264
12790,12790,2-s2.0-84922550869
12820,12820,2-s2.0-84908936180
12934,12934,2-s2.0-84898457813
13087,13087,2-s2.0-84883657093
13155,13155,2-s2.0-84879672016
13305,13305,2-s2.0-84957933115
13397,13397,2-s2.0-85087139847
13604,13604,2-s2.0-84908371467
13667,13667,2-s2.0-84904908871
13831,13831,2-s2.0-84894269241
13869,13869,2-s2.0-85003855338
13975,13975,2-s2.0-84946688513
14001,14001,2-s2.0-85144949879
14045,14045,2-s2.0-85087268331
14087,14087,2-s2.0-85040598399
14467,14467,2-s2.0-84908612288
14530,14530,2-s2.0-84906672418
14592,14592,2-s2.0-84905258295
14597,14597,2-s2.0-84905197270
14788,14788,2-s2.0-84903592093
14890,14890,2-s2.0-84901850976
14906,14906,2-s2.0-84901626301
15029,15029,2-s2.0-84898424054
15073,15073,2-s2.0-84897426147
15153,15153,2-s2.0-84893228070
15309,15309,2-s2.0-84978210574
15333,15333,2-s2.0-84953400564
15471,15471,2-s2.0-84943365068
15532,15532,2-s2.0-84949469568
15578,15578,2-s2.0-84939806588
15589,15589,2-s2.0-84940034994
15661,15661,2-s2.0-84943170113
15719,15719,2-s2.0-84938923604
15821,15821,2-s2.0-84930374116
15964,15964,2-s2.0-84939995134
16165,16165,2-s2.0-84921290230
16272,16272,2-s2.0-84922431781
16296,16296,2-s2.0-84929266721
16309,16309,2-s2.0-84938152405
16443,16443,2-s2.0-85102629962
16488,16488,2-s2.0-85064435984
16504,16504,2-s2.0-85052830023
16522,16522,2-s2.0-85039902085
16606,16606,2-s2.0-84994236047
16759,16759,2-s2.0-84957597481
16838,16838,2-s2.0-84950160149
17000,17000,2-s2.0-84943163062
17165,17165,2-s2.0-84930324893
17191,17191,2-s2.0-84928730861
17226,17226,2-s2.0-84926334581
17259,17259,2-s2.0-84923698352
17390,17390,2-s2.0-85099565022
17765,17765,2-s2.0-85096787012
17935,17935,2-s2.0-85076890511
17977,17977,2-s2.0-85099973172
18064,18064,2-s2.0-85092900042
18123,18123,2-s2.0-85119094120
18205,18205,2-s2.0-85091531064
18405,18405,2-s2.0-85087555892
18548,18548,2-s2.0-85089451038
18611,18611,2-s2.0-85087894571
18687,18687,2-s2.0-85095797071
18811,18811,2-s2.0-85095727179
18834,18834,2-s2.0-85087713423
18950,18950,2-s2.0-85086458261
19076,19076,2-s2.0-85086441905
19195,19195,2-s2.0-85084570709
19246,19246,2-s2.0-85084225437
19378,19378,2-s2.0-85087898555
19482,19482,2-s2.0-85077170577
19687,19687,2-s2.0-85082405654
19743,19743,2-s2.0-85068251412
19964,19964,2-s2.0-85218155143
19965,19965,2-s2.0-85218087383
19976,19976,2-s2.0-85185351742
20120,20120,2-s2.0-85122333525
20163,20163,2-s2.0-85112574666
20539,20539,2-s2.0-85096561249
20543,20543,2-s2.0-85096554516
20640,20640,2-s2.0-85092727063
20681,20681,2-s2.0-85091843693
20762,20762,2-s2.0-85090349088
20859,20859,2-s2.0-85088595686
20958,20958,2-s2.0-85086671802
20996,20996,2-s2.0-85085896263
21071,21071,2-s2.0-85083739630
21133,21133,2-s2.0-85082402383
21200,21200,2-s2.0-85080858142
21211,21211,2-s2.0-85079684767
21462,21462,2-s2.0-105013258350
21513,21513,2-s2.0-105002216943
21701,21701,2-s2.0-85073078561
21804,21804,2-s2.0-85076104067
21815,21815,2-s2.0-85076088761
22014,22014,2-s2.0-85068876256
22169,22169,2-s2.0-85073188313
22344,22344,2-s2.0-85073605207
22439,22439,2-s2.0-85074213678
22513,22513,2-s2.0-85063732518
22712,22712,2-s2.0-85071691184
22772,22772,2-s2.0-85106845168
22787,22787,2-s2.0-85072232707
23145,23146,2-s2.0-85067301117
23263,23264,2-s2.0-85066097760
23371,23372,2-s2.0-85067426570
23456,23457,2-s2.0-85064577762
23460,23461,2-s2.0-85063410051
23480,23481,2-s2.0-85063388968
23521,23522,2-s2.0-85064344287
23617,23618,2-s2.0-85061986675
23618,23619,2-s2.0-85061832834
23693,23694,2-s2.0-85061100668
23699,23700,2-s2.0-85062574116
24059,24060,2-s2.0-85103295208
24108,24109,2-s2.0-85093077680
24402,24403,2-s2.0-85076856025
24531,24532,2-s2.0-85073715239
24685,24686,2-s2.0-85071196085
24819,24820,2-s2.0-85068744453
24977,24978,2-s2.0-85065481566
24980,24981,2-s2.0-85065475753
25037,25038,2-s2.0-85064162381
25091,25092,2-s2.0-85062043550
25111,25112,2-s2.0-85060540514
25166,25167,2-s2.0-85053497351
25213,25214,2-s2.0-105000338621
25288,25289,2-s2.0-85163026312
25290,25291,2-s2.0-85084850194
25632,25633,2-s2.0-85065286746
25822,25823,2-s2.0-85051065252
26111,26112,2-s2.0-85051228540
26155,26156,2-s2.0-85048631129
26384,26385,2-s2.0-85033694820
26459,26460,2-s2.0-85048044568
26747,26748,2-s2.0-85045745203
26819,26820,2-s2.0-85046790273
26946,26947,2-s2.0-85042288182
26980,26981,2-s2.0-85042128678
27048,27049,2-s2.0-84966712931
27310,27311,2-s2.0-85069167686
27393,27394,2-s2.0-85063641358
27483,27484,2-s2.0-85061227192
27515,27516,2-s2.0-85060481808
27598,27599,2-s2.0-85057971875
27624,27625,2-s2.0-85057009043
27712,27713,2-s2.0-85054649634
27786,27787,2-s2.0-85050968112
27844,27845,2-s2.0-85048868898
27849,27850,2-s2.0-85048798605
27993,27994,2-s2.0-85042541223
28094,28095,2-s2.0-85029432358
28185,28186,2-s2.0-85043287150
28195,28196,2-s2.0-85043254879
28345,28346,2-s2.0-85042102156
28511,28512,2-s2.0-85038420003
28587,28588,2-s2.0-85037705687
28595,28596,2-s2.0-85030457611
28598,28599,2-s2.0-85029921372
28833,28834,2-s2.0-85028316372
28849,28850,2-s2.0-85035333988
29355,29356,2-s2.0-85019938894
29385,29386,2-s2.0-84988940570
29410,29411,2-s2.0-85020284931
29498,29499,2-s2.0-85018465100
29869,29870,2-s2.0-85006150682
29961,29962,2-s2.0-85145540224
29991,29992,2-s2.0-85136790972
30264,30265,2-s2.0-85041094075
30266,30267,2-s2.0-85040927415
30290,30291,2-s2.0-85038865487
30313,30314,2-s2.0-85037524823
30477,30478,2-s2.0-85029785412
30623,30624,2-s2.0-85022033988
30707,30708,2-s2.0-85019569596
30841,30842,2-s2.0-84996527541
31161,31162,2-s2.0-84994607458
31237,31238,2-s2.0-84994091569
31400,31401,2-s2.0-84982995014
31502,31503,2-s2.0-84974623438
31610,31611,2-s2.0-84979697064
31785,31786,2-s2.0-85021883877
31953,31954,2-s2.0-85059566077
31962,31963,2-s2.0-84984829475
32119,32120,2-s2.0-85011550298
32247,32248,2-s2.0-85139204291
32307,32308,2-s2.0-85069932486
32463,32464,2-s2.0-85020701915
32546,32547,2-s2.0-85018237464
32863,32864,2-s2.0-84987653494
32920,32921,2-s2.0-84978864796
