corpus_position,source_row_abs,EID_o_identificador
4,4,2-s2.0-0033652463
11,11,2-s2.0-8644274687
15,15,2-s2.0-8644261519
41,41,2-s2.0-37549002580
44,44,2-s2.0-28944455653
46,46,2-s2.0-1842637776
47,47,2-s2.0-17044444083
53,53,2-s2.0-0034511382
54,54,2-s2.0-0034480208
68,68,2-s2.0-0034634359
75,75,2-s2.0-0034644641
77,77,2-s2.0-0034644566
84,84,2-s2.0-0033824067
104,104,2-s2.0-0034171702
122,122,2-s2.0-85024001305
162,162,2-s2.0-52849118952
172,172,2-s2.0-33749398801
176,176,2-s2.0-3042533569
178,178,2-s2.0-27544492987
179,179,2-s2.0-24944517592
194,194,2-s2.0-22844453574
224,224,2-s2.0-0038022475
238,238,2-s2.0-0034367117
261,261,2-s2.0-0034094306
302,302,2-s2.0-0003376326
309,309,2-s2.0-8744316010
319,319,2-s2.0-8744303616
324,324,2-s2.0-8744301209
330,330,2-s2.0-8744285308
332,332,2-s2.0-8744278318
334,334,2-s2.0-8744275101
341,341,2-s2.0-8744259517
372,372,2-s2.0-33847682119
377,377,2-s2.0-0347693168
385,385,2-s2.0-0035745072
387,387,2-s2.0-0035693825
404,404,2-s2.0-0035500139
413,413,2-s2.0-0034851659
417,417,2-s2.0-0040154306
418,418,2-s2.0-0035725479
437,437,2-s2.0-4043104065
487,487,2-s2.0-84992782820
494,494,2-s2.0-84905098143
522,522,2-s2.0-52549118202
527,527,2-s2.0-4243062315
536,536,2-s2.0-33746754727
537,537,2-s2.0-33745203899
540,540,2-s2.0-27944489082
543,543,2-s2.0-27544496425
576,576,2-s2.0-0038793784
592,592,2-s2.0-0035600229
597,597,2-s2.0-0035579635
602,602,2-s2.0-0035532086
610,610,2-s2.0-0035458222
615,615,2-s2.0-0035419834
625,625,2-s2.0-0035342129
634,634,2-s2.0-0035202597
659,659,2-s2.0-0034782346
663,663,2-s2.0-0034771467
736,736,2-s2.0-3042691111
744,744,2-s2.0-1842579640
753,753,2-s2.0-0038671886
757,757,2-s2.0-0036995665
795,795,2-s2.0-0036864581
796,796,2-s2.0-0036417894
801,801,2-s2.0-1842450025
809,809,2-s2.0-0036757770
812,812,2-s2.0-0036331867
814,814,2-s2.0-0036677618
827,827,2-s2.0-84857809935
846,846,2-s2.0-33748756973
855,855,2-s2.0-0036484188
860,860,2-s2.0-85088183454
868,868,2-s2.0-85065366810
869,869,2-s2.0-85065365895
903,903,2-s2.0-84949310242
905,905,2-s2.0-84948673159
913,913,2-s2.0-84904042788
923,923,2-s2.0-84860498287
931,931,2-s2.0-77950792638
934,934,2-s2.0-62949191235
936,936,2-s2.0-60349109728
939,939,2-s2.0-52649141094
944,944,2-s2.0-4944258304
963,963,2-s2.0-31244435171
971,971,2-s2.0-23844509230
979,979,2-s2.0-21244505256
988,988,2-s2.0-0039486304
991,991,2-s2.0-0037648752
1003,1003,2-s2.0-0036954346
1029,1029,2-s2.0-0036480507
1040,1040,2-s2.0-0036375306
1041,1041,2-s2.0-0036351814
1052,1052,2-s2.0-0036118291
1055,1055,2-s2.0-0036060734
1062,1062,2-s2.0-0036012258
1089,1089,2-s2.0-8744308211
1099,1099,2-s2.0-8744298471
1101,1101,2-s2.0-8744297313
1103,1103,2-s2.0-8744294871
1115,1115,2-s2.0-8744267394
1138,1138,2-s2.0-8744236027
