corpus_position,source_row_abs,EID_o_identificador
13,13,2-s2.0-8644271674
21,21,2-s2.0-8644243858
30,30,2-s2.0-85040416124
33,33,2-s2.0-84893412380
34,34,2-s2.0-84867432310
36,36,2-s2.0-79959734206
37,37,2-s2.0-79953050978
41,41,2-s2.0-37549002580
42,42,2-s2.0-33749127669
46,46,2-s2.0-1842637776
49,49,2-s2.0-1542272649
53,53,2-s2.0-0034511382
55,55,2-s2.0-0034474519
59,59,2-s2.0-0034472448
70,70,2-s2.0-85167397859
72,72,2-s2.0-0034317510
81,81,2-s2.0-0037995948
83,83,2-s2.0-0013238159
88,88,2-s2.0-0346123728
90,90,2-s2.0-84952651568
109,109,2-s2.0-34547226829
112,112,2-s2.0-3042640043
113,113,2-s2.0-0034635405
115,115,2-s2.0-23944498915
117,117,2-s2.0-8644220517
121,121,2-s2.0-85041902906
123,123,2-s2.0-85023825286
125,125,2-s2.0-85014988680
126,126,2-s2.0-85011497723
128,128,2-s2.0-85010495355
133,133,2-s2.0-84993769373
134,134,2-s2.0-84992904524
137,137,2-s2.0-84974678940
148,148,2-s2.0-84904040699
150,150,2-s2.0-84871922064
154,154,2-s2.0-77951276094
155,155,2-s2.0-70349431774
158,158,2-s2.0-53949124323
172,172,2-s2.0-33749398801
173,173,2-s2.0-33646819206
180,180,2-s2.0-24944486066
186,186,2-s2.0-23044520582
196,196,2-s2.0-22844453364
197,197,2-s2.0-19544377644
201,201,2-s2.0-17144475157
203,203,2-s2.0-13244297204
205,205,2-s2.0-0346115258
222,222,2-s2.0-0038778883
225,225,2-s2.0-0035526678
226,226,2-s2.0-0034734148
228,228,2-s2.0-0034612689
229,229,2-s2.0-0034612674
232,232,2-s2.0-0034550207
239,239,2-s2.0-0034366629
246,246,2-s2.0-0034339338
247,247,2-s2.0-0034338990
279,279,2-s2.0-0033760724
294,294,2-s2.0-0012085219
305,305,2-s2.0-0000717304
310,310,2-s2.0-8744315776
312,312,2-s2.0-8744314577
319,319,2-s2.0-8744303616
328,328,2-s2.0-8744292840
334,334,2-s2.0-8744275101
342,342,2-s2.0-8744258519
349,349,2-s2.0-8744242338
352,352,2-s2.0-8744232373
355,355,2-s2.0-8744225318
359,359,2-s2.0-85013587113
361,361,2-s2.0-84869430431
364,364,2-s2.0-61349183215
370,370,2-s2.0-4544348954
371,371,2-s2.0-34249893927
374,374,2-s2.0-3242722248
388,388,2-s2.0-0035693274
389,389,2-s2.0-0035688346
393,393,2-s2.0-0035649414
400,400,2-s2.0-0035552759
410,410,2-s2.0-85158760701
411,411,2-s2.0-85070608828
412,412,2-s2.0-0035497719
413,413,2-s2.0-0034851659
428,428,2-s2.0-4544320468
448,448,2-s2.0-0035608424
453,453,2-s2.0-6344283024
455,455,2-s2.0-8744311501
456,456,2-s2.0-85131785485
467,467,2-s2.0-85023833173
471,471,2-s2.0-85010855531
472,472,2-s2.0-85010629684
474,474,2-s2.0-85009648608
475,475,2-s2.0-85009635406
476,476,2-s2.0-85009598657
480,480,2-s2.0-85007784572
482,482,2-s2.0-84993737850
485,485,2-s2.0-84992829366
486,486,2-s2.0-84992803642
493,493,2-s2.0-84926254016
499,499,2-s2.0-84901268889
527,527,2-s2.0-4243062315
529,529,2-s2.0-34548849734
532,532,2-s2.0-34249670955
534,534,2-s2.0-33749871901
542,542,2-s2.0-27844507401
544,544,2-s2.0-26444550190
552,552,2-s2.0-19644373972
555,555,2-s2.0-19644363227
556,556,2-s2.0-18544390127
561,561,2-s2.0-17544400786
568,568,2-s2.0-0043176077
574,574,2-s2.0-0038970348
576,576,2-s2.0-0038793784
