graph,nodes,edges,density,components,lcc_nodes,lcc_fraction,lcc_edges,isolated_nodes,backbone_nodes,backbone_edges,backbone_density,backbone_components,backbone_lcc_nodes,backbone_lcc_fraction,backbone_lcc_edges,backbone_isolated_nodes,backbone_w_min,backbone_modularity_seed42,backbone_communities_seed42,backbone_modularity_mean,backbone_modularity_sd,backbone_communities_mean,backbone_total_weight
coword (no semantic filter),56635,377144,0.0002351662843041492,103,56129,0.991065595479827,376134,1,658,1108,0.005125998713873969,1,658,1.0,1108,0,20,0.3098008291089467,7,0.30960111932855067,0.00046254258944184237,6.6,62533.0
tau=0.40 (published CRS),56635,109022,6.798013132227201e-05,19856,34316,0.6059150701862805,106297,18017,408,608,0.0073228308522426165,2,406,0.9950980392156863,607,0,20,0.3560443171946043,7,0.35594661898587643,0.0003089488628984876,7.0,38525.0
