w_min,nodes,edges,components,lcc_nodes,lcc_fraction,modularity,communities,nmi_vs_previous_w,ari_vs_previous_w,shared_nodes_vs_previous_w
1,38618,109022,1839,34316,0.8886011704386555,0.44131012745068826,2403,,,0
3,3063,7214,36,2991,0.9764936336924583,0.36635635073889417,58,0.5853771128400014,0.619275225133691,3063
5,1627,3331,19,1588,0.9760295021511985,0.36004847963032904,34,0.7316006535215719,0.7959014278011456,1627
8,1011,1801,11,990,0.9792284866468842,0.35595670620609565,20,0.7789079626311115,0.8362571332142718,1011
10,783,1344,8,769,0.9821200510855683,0.3558287581931379,17,0.8860592019289949,0.932260079567951,783
20,408,608,2,406,0.9950980392156863,0.3560443171946043,7,0.6981451793930453,0.772335119632377,408
30,258,368,2,256,0.9922480620155039,0.3447023861921978,6,0.8134070096314556,0.8797470265825974,258
